Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,resistance label,Date,latitude,longitude
1736,101042,Abingdon,,"Barbados, place unspecified",York River,2,"Westcott, John",,1736-01-01,#N/A,#N/A
1736,101043,Ann and Frances,,"Barbados, place unspecified",Lower James River,3,"Connor, William",,1736-01-01,#N/A,#N/A
1736,101044,Industry,,"Barbados, place unspecified",Hampton,6,"Westcott, John",,1736-01-01,#N/A,#N/A
1736,101045,Unity,,Spanish Town,Hampton,1,"White, Charles",,1736-01-01,17.98333,-76.95
1736,101046,Tryall,,"Jamaica, place unspecified",Hampton,1,"Dickenson, John",,1736-01-01,#N/A,#N/A
1736,101047,Ann,,Bermuda,Upper James River,3,"Dickenson, James",,1736-01-01,32.29417,-64.78389
1736,101048,Saunders,,Bermuda,Hampton,4,"Thomas, John",,1736-01-01,32.29417,-64.78389
1736,101049,John and Mary,,"Barbados, place unspecified",York River,1,"Tillidge, Richard",,1736-01-01,#N/A,#N/A
1736,101050,John,,"Montserrat, port unspecified",Hampton,2,"Ober, Hezekiah",,1736-01-01,16.7,-62.21667
1736,101051,Increase,,"Barbados, place unspecified",Upper James River,1,"Darrell, William",,1736-01-01,#N/A,#N/A
1736,101052,Elizabeth,,Bermuda,Hampton,2,"Robinson, Robert",,1736-01-01,32.29417,-64.78389
1736,101053,Brunswick,,Boston,Upper James River,1,"Shippard, William",,1736-01-01,42.36166,-71.05947
1736,101054,Henry and Benjamin,,"Jamaica, place unspecified",Upper James River,1,"Friend, Thomas",,1736-01-01,#N/A,#N/A
1736,101055,Charming Ann,,"Antigua, place unspecified",Hampton,1,"Browne, John",,1736-01-01,#N/A,#N/A
1736,101056,Mary and Elizabeth,,"Antigua, place unspecified",Hampton,2,"Brown, Bristow",,1736-01-01,#N/A,#N/A
1737,101057,Clotilda,,"Barbados, place unspecified",Rappahannock,7,"Bouch, Elihu",,1737-01-01,#N/A,#N/A
1737,101058,Priscilla,,"Jamaica, place unspecified",Hampton,1,"Sinnot, Charles",,1737-01-01,#N/A,#N/A
1737,101059,Phoenix,,"St. Kitts, port unspecified",Hampton,2,"Hutchinson, Joel",,1737-01-01,17.3,-62.71667
1737,101060,Saunders,,"Anguilla, port unspecified",Hampton,3,"Thomas, John",,1737-01-01,18.21667,-63.05
1737,101061,Mary and Elizabeth,,Bermuda,Hampton,4,"Brown, Bristow",,1737-01-01,32.29417,-64.78389
1737,101062,Sarah,,"Barbados, place unspecified",Hampton,5,"Tucker, John",,1737-01-01,#N/A,#N/A
1737,101063,William,,"Barbados, place unspecified",Rappahannock,2,"Taylor, Joseph",,1737-01-01,#N/A,#N/A
1737,101064,Elizabeth,,Bermuda,Hampton,2,"Robinson, Robert",,1737-01-01,32.29417,-64.78389
1737,101065,Anne,,"Jamaica, place unspecified",Hampton,3,"McNary, William",,1737-01-01,#N/A,#N/A
1737,101066,Saunders,,"Barbados, place unspecified",Hampton,1,"Calvert, Cornelius",,1737-01-01,#N/A,#N/A
1737,101067,Elizabeth and Margaret,,"Antigua, place unspecified",Hampton,7,"Wishart, William",,1737-01-01,#N/A,#N/A
1737,101068,Molly,,"Barbados, place unspecified",Hampton,2,"Moseley, Anthony",,1737-01-01,#N/A,#N/A
1737,101069,Neptune,,"Antigua, place unspecified",Rappahannock,20,"Boyd, Thomas",,1737-01-01,#N/A,#N/A
1737,101070,Frances,,"St. Kitts, port unspecified",Hampton,36,"Miller, Mason",,1737-01-01,17.3,-62.71667
1737,101071,Phoenix,,"Jamaica, place unspecified",Hampton,4,"Savage, Habijah",,1737-01-01,#N/A,#N/A
1737,101072,Abingdon,,"Barbados, place unspecified",York River,4,"Westcott, John",,1737-01-01,#N/A,#N/A
1737,101073,Antigua Merchant,,Lower James River,Upper James River,11,"Payne, Arthur",,1737-01-01,36.95002,-76.38292
1737,101074,Rebecca and Freelove,,"Barbados, place unspecified",Hampton,1,"Brett, John",,1737-01-01,#N/A,#N/A
1737,101075,Anne,,Bermuda,Hampton,4,"Dickenson, James",,1737-01-01,32.29417,-64.78389
1737,101076,Pembrooke,,Bermuda,Hampton,1,"Tucker, St. George",,1737-01-01,32.29417,-64.78389
1737,101077,Tryall,,Boston,Hampton,1,"Lear, Tobias",,1737-01-01,42.36166,-71.05947
1737,101078,Glasgow,,"St. Kitts, port unspecified",Hampton,24,"Bulkley, James",,1737-01-01,17.3,-62.71667
1738,101079,Sarah,,Boston,Hampton,1,"Thomas, Joshua",,1738-01-01,42.36166,-71.05947
1738,101080,Merrimack,,Boston,Hampton,1,"Robinson, John",,1738-01-01,42.36166,-71.05947
1738,101081,Susannah,,"Jamaica, place unspecified",Hampton,1,"Nelms, Thomas",,1738-01-01,#N/A,#N/A
1738,101082,Frances,,Bermuda,Lower James River,1,"Butterfield, Benjamin",,1738-01-01,32.29417,-64.78389
1738,101083,Unity,,"St. Kitts, port unspecified",Lower James River,81,"Corbitt, James",,1738-01-01,17.3,-62.71667
1738,101084,Phoenix,,"Barbados, place unspecified",Lower James River,33,"Newton, Thomas",,1738-01-01,#N/A,#N/A
1738,101085,Amy,,"Barbados, place unspecified",Lower James River,16,"Savage, Habijah",,1738-01-01,#N/A,#N/A
1738,101086,Frederica,,"Georgia, port unspecified",Lower James River,67,"Goodwin, John",,1738-01-01,32.0833,-81.1
1738,101087,Saint Michael,,"Barbados, place unspecified",Lower James River,1,"Hutchinson, Joel",,1738-01-01,#N/A,#N/A
1738,101088,William and Betty,,"Jamaica, place unspecified",Lower James River,1,"Moore, James",,1738-01-01,#N/A,#N/A
1738,101089,Industry,,"Barbados, place unspecified",Lower James River,2,"Hancock, William",,1738-01-01,#N/A,#N/A
1738,101090,Molly,,"Barbados, place unspecified",York River,3,"Thompson, John",,1738-01-01,#N/A,#N/A
1738,101091,Nancy,,"Barbados, place unspecified",Upper James River,1,"Johnston, Samuel",,1738-01-01,#N/A,#N/A
1738,101092,Glasgow,,"St. Kitts, port unspecified",Lower James River,21,"Bulkley, John",,1738-01-01,17.3,-62.71667
1738,101093,Anne,,Bermuda,Hampton,3,"Dickenson, James",,1738-01-01,32.29417,-64.78389
1738,101094,Three Friends,,"Antigua, place unspecified",Hampton,9,"Farr, John",,1738-01-01,#N/A,#N/A
1738,101095,Grampus,,New England,York River,1,"Brigges, John",,1738-01-01,44.12283,-69.17
1738,101096,Ruby,,Bermuda,Hampton,5,"Paynter, Paul",,1738-01-01,32.29417,-64.78389
1738,101097,Saint Michael,,"Barbados, place unspecified",Hampton,5,"Hutchinson, Joel",,1738-01-01,#N/A,#N/A
1738,101098,Thistle,,Philadelphia,Hampton,1,"Wilson, John",,1738-01-01,39.9522,-75.1642
1738,101099,Exeter,,Charleston,Upper James River,7,"Duncome, Nehemiah",,1738-01-01,32.78096,-79.93554
1738,101100,Race Horse,,Boston,Hampton,1,"Odiorne, John",,1738-01-01,42.36166,-71.05947
1738,101101,Nassaw,,Boston,Upper James River,2,"Miller, John",,1738-01-01,42.36166,-71.05947
1739,101102,Hopewell,,"Rhode Island, port unspecified",York River,1,"Armstrong, John",,1739-01-01,41.49,-71.31
1739,101103,Jane,,"Antigua, place unspecified",Hampton,10,"Rooke, Edward",,1739-01-01,#N/A,#N/A
1739,101104,Ruby,,"Barbados, place unspecified",Hampton,2,"Tarrant, William",,1739-01-01,#N/A,#N/A
1739,101105,Boyde,,"St. Kitts, port unspecified",Hampton,1,"Lambeth, John",,1739-01-01,17.3,-62.71667
1739,101106,Robert,,"Barbados, place unspecified",Hampton,2,"Rogers, Samuel",,1739-01-01,#N/A,#N/A
1739,101107,Margaret,,"Barbados, place unspecified",Hampton,1,"Williamson, Thomas",,1739-01-01,#N/A,#N/A
1739,101108,Martha and Mary,,"Barbados, place unspecified",Hampton,11,"Cooper, Samuel",,1739-01-01,#N/A,#N/A
1739,101109,Eagle,,"Antigua, place unspecified",Hampton,15,"Jennings, Richard",,1739-01-01,#N/A,#N/A
1739,101110,Saint Michael,,"Barbados, place unspecified",Hampton,1,"Nicholson, John",,1739-01-01,#N/A,#N/A
1739,101111,Anne,,"Jamaica, place unspecified",Hampton,7,"Ivy, William",,1739-01-01,#N/A,#N/A
1739,101112,Robert and John,,"Barbados, place unspecified",Hampton,1,"Cooke, John",,1739-01-01,#N/A,#N/A
1739,101113,Molly,,"Barbados, place unspecified",Hampton,4,"Northcott, James",,1739-01-01,#N/A,#N/A
1739,101114,Sea Nymph,,"Maryland, port unspecified",York River,1,"Ashington, Thomas",,1739-01-01,38.30897,-76.45123
1739,101116,Rebecca and Freelove,,"Jamaica, place unspecified",Hampton,11,"Brett, John",,1739-01-01,#N/A,#N/A
1739,101117,Little Molly,,"Jamaica, place unspecified",Hampton,1,"Miller, Henry",,1739-01-01,#N/A,#N/A
1739,101118,Mary,,Bermuda,Hampton,7,"James, Benjamin",,1739-01-01,32.29417,-64.78389
1739,101119,Mary,,Bermuda,Hampton,8,"Brownlow, Israel",,1739-01-01,32.29417,-64.78389
1739,104772,John and Mary,,"Barbados, place unspecified","Virginia, port unspecified",1,"Tillidge, Richard",,1739-01-01,#N/A,#N/A
1740,101120,Breda,,"South Carolina, place unspecified",Upper James River,4,"Pitman, William",,1740-01-01,#N/A,#N/A
1740,101121,Anne and Mary,,"Jamaica, place unspecified",Hampton,3,"Sinnot, Charles",,1740-01-01,#N/A,#N/A
1740,101122,Charity,,Bermuda,Hampton,1,"Gibbs, George",,1740-01-01,32.29417,-64.78389
1740,101123,Saint Michael,,"Barbados, place unspecified",Hampton,1,"Nicholas, Isaiah",,1740-01-01,#N/A,#N/A
1740,101125,Little Molly,,"Barbados, place unspecified",Hampton,2,"Miller, Henry",,1740-01-01,#N/A,#N/A
1740,101126,Mary,,Bermuda,Hampton,1,"Brownlow, Israel",,1740-01-01,32.29417,-64.78389
1740,101127,Anne,,"St. Kitts, port unspecified",Hampton,32,"Walker, George",,1740-01-01,17.3,-62.71667
1740,101128,Ann and Frances,,"Barbados, place unspecified",Hampton,3,"Nicholas, Andrew",,1740-01-01,#N/A,#N/A
1740,101129,Caledonia,,"Antigua, place unspecified",Hampton,20,"Moncrieff, George",,1740-01-01,#N/A,#N/A
1740,101130,Catherine,,"Barbados, place unspecified",Hampton,4,"Murray, Alexander",,1740-01-01,#N/A,#N/A
1740,101131,Molly,,"Barbados, place unspecified",Hampton,16,"Northcott, John",,1740-01-01,#N/A,#N/A
1740,101132,Pugh,,"Barbados, place unspecified",Hampton,8,"Gardener, Christopher",,1740-01-01,#N/A,#N/A
1740,101133,Tryall,,"St. Kitts, port unspecified",Hampton,16,"Brown, Hugh",,1740-01-01,17.3,-62.71667
1740,101134,Saunders,,"Antigua, place unspecified",Hampton,1,"Calvert, Cornelius",,1740-01-01,#N/A,#N/A
1740,101135,Anne,,"St. Kitts, port unspecified",Hampton,31,"Leycroft, Oliver",,1740-01-01,17.3,-62.71667
1740,101136,Crusier,,"Barbados, place unspecified",Hampton,2,"Westcott, Wright",,1740-01-01,#N/A,#N/A
1740,101137,Boyde,,"Jamaica, place unspecified",Hampton,6,"Lambert, John",,1740-01-01,#N/A,#N/A
1740,101138,Charming Sally,,"St. Kitts, port unspecified",Hampton,36,"Maxwell, John",,1740-01-01,17.3,-62.71667
1740,101139,Swan,,Boston,Upper James River,1,"Doggett, Joseph",,1740-01-01,42.36166,-71.05947
1740,101140,Little Molly,,"Barbados, place unspecified",Upper James River,1,"Cabonis, George",,1740-01-01,#N/A,#N/A
1740,101141,Vine,,"Antigua, place unspecified",Hampton,4,"Murray, James",,1740-01-01,#N/A,#N/A
1740,101142,Anne and Mary,,"Jamaica, place unspecified",Hampton,7,"Sinnot, Charles",,1740-01-01,#N/A,#N/A
1740,101143,Fanny,,"St. Kitts, port unspecified",Hampton,2,"Furmidge, William",,1740-01-01,17.3,-62.71667
1740,101144,Catherine,,"Barbados, place unspecified",Hampton,15,"Murray, Alexander",,1740-01-01,#N/A,#N/A
1740,101145,William,,"Jamaica, place unspecified",Hampton,7,"Connor, William",,1740-01-01,#N/A,#N/A
1740,101146,Anne,,"St. Kitts, port unspecified",Hampton,2,"Leycroft, Oliver",,1740-01-01,17.3,-62.71667
1740,101147,Lucy,,"Jamaica, place unspecified",Upper James River,3,"Goodman, Thomas",,1740-01-01,#N/A,#N/A
1740,101148,Adventure,,"Jamaica, place unspecified",Hampton,6,"Bayne, Alexander",,1740-01-01,#N/A,#N/A
1740,101149,Speedwell,,New Providence,Upper James River,2,"Duncome, Nehemiah",,1740-01-01,24.99364,-77.39683
1741,101150,Endeavour,,"St. Kitts, port unspecified",Hampton,2,"Hawkins, James",,1741-01-01,17.3,-62.71667
1741,101151,Anne,,"St. Kitts, port unspecified",Hampton,3,"Newton, Wilson",,1741-01-01,17.3,-62.71667
1741,101152,Anne,,"Nevis, port unspecified",Hampton,2,"Hutchinson, Joel",,1741-01-01,17.2,-62.58333
1741,101153,Eleanor,,"Antigua, place unspecified",Hampton,10,"Thompson, John",,1741-01-01,#N/A,#N/A
1741,101154,Shear Water,,New London,Hampton,1,"Bradick, John",,1741-01-01,41.3556,-72.1
1741,101155,Catherine,,"Barbados, place unspecified",Hampton,2,"Murray, Alexander",,1741-01-01,#N/A,#N/A
1741,101156,Griffin,,"Barbados, place unspecified",Rappahannock,12,"Dixon, Joshua",,1741-01-01,#N/A,#N/A
1741,101157,Royal Ranger,,"Barbados, place unspecified",Hampton,3,"Frith, Solomon",,1741-01-01,#N/A,#N/A
1741,101158,Friendly Society,,"Barbados, place unspecified",Hampton,26,"Dickenson, Francis",,1741-01-01,#N/A,#N/A
1741,101159,Joseph,,Bermuda,Hampton,1,"Ingham, John",,1741-01-01,32.29417,-64.78389
1741,101160,Martha and Susanna,,"Antigua, place unspecified",Hampton,15,"Greatbeach, Thomas",,1741-01-01,#N/A,#N/A
1741,101161,Pugh,,"Antigua, place unspecified",Hampton,3,"Gardner, Christopher",,1741-01-01,#N/A,#N/A
1741,101162,Jane and Elizabeth,,"Barbados, place unspecified",Hampton,2,"Seward, Thomas",,1741-01-01,#N/A,#N/A
1741,101163,Polly,,"St. Kitts, port unspecified",Hampton,18,"Ivy, Joseph",,1741-01-01,17.3,-62.71667
1741,101164,Grand Master,,"St. Kitts, port unspecified",Hampton,10,"Hall, Thomas",,1741-01-01,17.3,-62.71667
1741,101165,Endeavour,,"Barbados, place unspecified",Hampton,18,"Cooke, John",,1741-01-01,#N/A,#N/A
1741,101166,Saint Michael,,"Barbados, place unspecified",Hampton,7,"Miller, Henry",,1741-01-01,#N/A,#N/A
1741,101167,Oliver,,"Antigua, place unspecified",Hampton,10,"Payne, James",,1741-01-01,#N/A,#N/A
1741,101168,Dragon,,Philadelphia,Hampton,1,"Hughs, Constant.",,1741-01-01,39.9522,-75.1642
1741,101169,Susanna,,"Barbados, place unspecified",Rappahannock,3,"Miller, Mason",,1741-01-01,#N/A,#N/A
1741,101170,Fanny,,Bermuda,Upper James River,1,"Darrell, Henry",,1741-01-01,32.29417,-64.78389
1741,101171,John and Mary,,"Barbados, place unspecified",York River,27,"Tillidge, Richard",,1741-01-01,#N/A,#N/A
1741,101172,Saunders,,"Barbados, place unspecified",Lower James River,1,"Calvert, Jonathan",,1741-01-01,#N/A,#N/A
1741,101173,Sarah and Hannah,,"Antigua, place unspecified",Upper James River,10,"Friend, Thomas",,1741-01-01,#N/A,#N/A
1741,101174,Industry,,"Barbados, place unspecified",Hampton,41,"Malbone, Reo'd",,1741-01-01,#N/A,#N/A
1741,101175,Mary,,Bermuda,Hampton,3,"Smith, Samuel",,1741-01-01,32.29417,-64.78389
1741,101176,Joseph,,Bermuda,Hampton,1,"Pitt, William",,1741-01-01,32.29417,-64.78389
1741,101177,Sarah and Elizabeth,,Bermuda,York River,1,"Wainwright, William",,1741-01-01,32.29417,-64.78389
1741,101178,Elizabeth,,Bermuda,Hampton,2,"Higgs, William",,1741-01-01,32.29417,-64.78389
1741,101179,Margaret and Mary,,Philadelphia,Hampton,1,"Millet, John",,1741-01-01,39.9522,-75.1642
1741,101180,Mary,,"Antigua, place unspecified",Hampton,2,"Thibou, John",,1741-01-01,#N/A,#N/A
1741,101181,Diamond,,Bermuda,Hampton,1,"Sears, John",,1741-01-01,32.29417,-64.78389
1741,101182,Anne,,Bermuda,Hampton,2,"Griffin, Charles",,1741-01-01,32.29417,-64.78389
1741,101183,Pugh,,"Barbados, place unspecified",Hampton,1,"Dixon, Adam",,1741-01-01,#N/A,#N/A
1741,101184,Elizabeth,,Bermuda,Hampton,4,"Godfrey, William",,1741-01-01,32.29417,-64.78389
1741,101185,Anne and Mary,,"Barbados, place unspecified",Hampton,10,"Irwin, John",,1741-01-01,#N/A,#N/A
1741,101186,Delight,,Bermuda,Upper James River,1,"Wells, Jeremiah",,1741-01-01,32.29417,-64.78389
1741,101187,Endeavour,,"Barbados, place unspecified",Hampton,1,"Morrice, William",,1741-01-01,#N/A,#N/A
1741,101188,Robert and John,,"Barbados, place unspecified",Hampton,2,"Boswell, Benjamin",,1741-01-01,#N/A,#N/A
1741,101189,Molly,,Bermuda,Hampton,1,"Darrell, Joseph",,1741-01-01,32.29417,-64.78389
1741,101190,Industry,,Bermuda,York River,1,"Dill, Joseph",,1741-01-01,32.29417,-64.78389
1741,104644,Ranger,,Boston,"Virginia, port unspecified",1,"Johnson, Isaac",,1741-01-01,42.36166,-71.05947
1741,104645,Charming Molly,,Boston,Upper James River,1,"Kingston, Elias",,1741-01-01,42.36166,-71.05947
1741,104717,Royal Ranger,,Bermuda,"Virginia, port unspecified",4,"Appleby, William",,1741-01-01,32.29417,-64.78389
1742,101191,Two Brothers,,Boston,Hampton,1,"Collins, Daniel",,1742-01-01,42.36166,-71.05947
1742,101192,Pugh,,"Barbados, place unspecified",Hampton,6,"Dixon, Adam",,1742-01-01,#N/A,#N/A
1742,101193,Two Sisters,,"Barbados, place unspecified",Hampton,34,"Sinnot, Charles<br/> Conyards, Samuel",,1742-01-01,#N/A,#N/A
1742,101194,Nonpareil,,Bermuda,Hampton,1,"Watkins, John",,1742-01-01,32.29417,-64.78389
1742,101195,Dragon,,Philadelphia,Hampton,1,"Stevens, Philip",,1742-01-01,39.9522,-75.1642
1742,101196,Sea Horse,,"St. Kitts, port unspecified",Hampton,5,"Williams, John",,1742-01-01,17.3,-62.71667
1742,101197,Industry,,"Barbados, place unspecified",Hampton,1,"Malbone, Reo'd",,1742-01-01,#N/A,#N/A
1742,101198,Mary,,"Antigua, place unspecified",Hampton,3,"Thibou, John",,1742-01-01,#N/A,#N/A
1742,101199,Betty,,"Barbados, place unspecified",Hampton,6,"Revel, Isaac",,1742-01-01,#N/A,#N/A
1742,101200,Anne and Mary,,"St. Kitts, port unspecified",Hampton,6,"Irwin, John",,1742-01-01,17.3,-62.71667
1742,101201,Robert and John,,"Barbados, place unspecified",Hampton,1,"Boswell, Benjamin",,1742-01-01,#N/A,#N/A
1742,101202,Sarah and Hannah,,"Barbados, place unspecified",Upper James River,1,"Friend, Thomas",,1742-01-01,#N/A,#N/A
1742,101203,Vernon,,"Barbados, place unspecified",Upper James River,17,"Brown, John",,1742-01-01,#N/A,#N/A
1742,101204,Clyde,,"Antigua, place unspecified",Upper James River,2,"McCunn, John",,1742-01-01,#N/A,#N/A
1742,101205,Breda,,Bermuda,Hampton,1,"Young, William",,1742-01-01,32.29417,-64.78389
1742,101206,Guy,,"Barbados, place unspecified",Hampton,3,"Shurwin, John",,1742-01-01,#N/A,#N/A
1742,101207,Molly,,"Barbados, place unspecified",Hampton,14,"Baker, Joshua",,1742-01-01,#N/A,#N/A
1742,101208,Kitty and Nora,,"Barbados, place unspecified",Upper James River,3,"Robertson, William",,1742-01-01,#N/A,#N/A
1742,101209,Mary,,"Antigua, place unspecified",Hampton,2,"Thibou, John",,1742-01-01,#N/A,#N/A
1742,101210,Deborah,,"Rhode Island, port unspecified",Hampton,1,"Montgomery, Adam",,1742-01-01,41.49,-71.31
1742,101211,Nonpareil,,Bermuda,Hampton,1,"Gilbert, Daniel",,1742-01-01,32.29417,-64.78389
1742,101212,Friendship,,Bermuda,Hampton,1,"Jennings, Henry",,1742-01-01,32.29417,-64.78389
1742,101213,Charming Molly,,Bermuda,Hampton,1,"Butterfield, Nathaniel",,1742-01-01,32.29417,-64.78389
1742,101214,Elizabeth,,Bermuda,Hampton,1,"Gilbert, Benjamin",,1742-01-01,32.29417,-64.78389
1742,101215,Molly,,Bermuda,Hampton,1,"Darrell, Joseph",,1742-01-01,32.29417,-64.78389
1742,101216,Endeavour,,Boston,Upper James River,1,"Stilson, James",,1742-01-01,42.36166,-71.05947
1742,101217,Esther,,Bermuda,Upper James River,2,"Savage, Robert",,1742-01-01,32.29417,-64.78389
1742,101218,Robert,,Bermuda,Hampton,5,"Wood, Thomas",,1742-01-01,32.29417,-64.78389
1743,101219,Speedwell,,Philadelphia,Hampton,1,"Miers, John",,1743-01-01,39.9522,-75.1642
1743,101220,Royal Rangers,,Bermuda,Hampton,2,"Appleby, William",,1743-01-01,32.29417,-64.78389
1743,101221,Industry,,"Barbados, place unspecified",Hampton,6,"Godfrey, James",,1743-01-01,#N/A,#N/A
1743,101222,Sea Flower,,Boston,Hampton,1,"Freeman, Daniel",,1743-01-01,42.36166,-71.05947
1743,101223,John and William,,Philadelphia,Hampton,1,"Gass, John",,1743-01-01,39.9522,-75.1642
1743,101224,Sanders,,"Barbados, place unspecified",Hampton,3,"Calvert, Jonathan",,1743-01-01,#N/A,#N/A
1743,101225,Kitty and Nora,,"Antigua, place unspecified",Upper James River,3,"Robertson, William",,1743-01-01,#N/A,#N/A
1743,101226,Griffin,,"Barbados, place unspecified",Rappahannock,4,"Dixon, Joshua",,1743-01-01,#N/A,#N/A
1743,101227,Phoenix,,"Barbados, place unspecified",Hampton,2,"Baker, Richard",,1743-01-01,#N/A,#N/A
1743,101228,Sarah and Hannah,,"Barbados, place unspecified",Hampton,2,"Allen, Anthony",,1743-01-01,#N/A,#N/A
1743,101229,Windsor Castle,,Bermuda,Hampton,2,"Bell, Thomas",,1743-01-01,32.29417,-64.78389
1743,101230,Industry,,"Barbados, place unspecified",Hampton,10,"Godfrey, James",,1743-01-01,#N/A,#N/A
1743,101231,Molly,,"Barbados, place unspecified",Hampton,7,"Baker, Joshua",,1743-01-01,#N/A,#N/A
1743,101232,Little Betty,,"Antigua, place unspecified",York River,13,"Gilbert, Richard",,1743-01-01,#N/A,#N/A
1743,101233,Content,,"St. Kitts, port unspecified",Hampton,6,"Moody, William",,1743-01-01,17.3,-62.71667
1743,101234,Young David,,"Barbados, place unspecified",York River,13,"Webster, Thomas",,1743-01-01,#N/A,#N/A
1743,101235,William,,Bermuda,Hampton,2,"Griffin, Charles",,1743-01-01,32.29417,-64.78389
1743,101236,Sanders,,"Barbados, place unspecified",Hampton,3,"Calvert, Jonathan",,1743-01-01,#N/A,#N/A
1743,101237,Sparrow,,"Barbados, place unspecified",Hampton,2,"Prentis, John",,1743-01-01,#N/A,#N/A
1743,101238,Elizabeth,,Spanish Town,Hampton,6,"Ross, Richard",,1743-01-01,17.98333,-76.95
1743,101239,Cape May,,Philadelphia,Hampton,1,"Smith, Richard",,1743-01-01,39.9522,-75.1642
1743,101240,Industry,,"Barbados, place unspecified",Hampton,2,"Malbone, Reo'd",,1743-01-01,#N/A,#N/A
1743,101241,Betty,,"Barbados, place unspecified",Hampton,1,"Soper, William",,1743-01-01,#N/A,#N/A
1743,101242,Speedwell,,Philadelphia,Hampton,2,"Curle, Samuel",,1743-01-01,39.9522,-75.1642
1743,101243,Diamond,,"St. Kitts, port unspecified",Hampton,3,"Somersall, Richard",,1743-01-01,17.3,-62.71667
1743,101244,Joseph,,Bermuda,Hampton,1,"Wainwright, William",,1743-01-01,32.29417,-64.78389
1743,101245,Sarah,,"Barbados, place unspecified",York River,2,"Hayles, John",,1743-01-01,#N/A,#N/A
1743,101246,Industry,,"Barbados, place unspecified",Hampton,2,"Dill, Joseph",,1743-01-01,#N/A,#N/A
1744,101247,James,,"Barbados, place unspecified",Hampton,2,"Mollynox, Thomas",,1744-01-01,#N/A,#N/A
1744,101248,Endeavour,,"Rhode Island, port unspecified",Hampton,3,"Gibb, John",,1744-01-01,41.49,-71.31
1744,101249,Nansem'd [Ransomed?],,"Barbados, place unspecified",Hampton,1,"Meredith, David",,1744-01-01,#N/A,#N/A
1744,101250,Industry,,"Barbados, place unspecified",Hampton,10,"Malbone, Reo'd",,1744-01-01,#N/A,#N/A
