,document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,doc_id,file_name,date
21,"or I fear, in case of War, it will be so weak as to fall an easy Prey to our Potent Neighbours the French at Hispaniola, who by the great Encouragement from their Mother Country, are within a few Years grown so numerous in their Settlements and Inhabitants, as gives a dismal Prospect to us of this Island.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
22,"One Thing I am surprized never was considered among the Means thought of for preventing the Use as well as running French Brandy, which is the lessening the Excise on Rum, the Produce of our own Sugar Colonies, which, were it used instead of French Brandy, would save the Nation as much ready Cash as goes out of it for the Purchase thereof.",1,"am surprized,was considered",2,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
23,"Rum is the principal Commodity of this Island next to Sugar, and on which the Planters very much depended;",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
24,it generally sells here from d.,1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
25,to s.,1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
26,"per Gallon, so that  Punches of  Gallons each here, is about l.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
27,"this Island Currency, or l.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
28,Sterling Value;,1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
29,"that Quantity, on exportation to Great Britain , is to pay a Duty and Excise to the Crown of about [ ]l.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
30,"Sterling, without any Drawback on Exportation, besides d.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
31,"per Gallon Freight, [ ] the Loss of Casks, Leakage, &c.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
32,"so that the Planter at last has a mere Trifle for a Commodity, and what is worse, we have [ ] for Rum at the Northern Colonies, [ ] buy French Molasses so cheap (which without such a Vent would be a Loss to the French ) that they furnish themselves, and export large Quantities to other Countries;",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
33,"so that our Rum that used to contribute greatly to support the contingent Charges of SugarWorks, by the heavy Duty, Excise, and Loss of the Northern Plantations Trade, will become of little other Value than to be given to Servants & Negroes;",1,be given,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
34,"whereas, was half the Excise to be taken off, it would greatly increase the Revenue in Great Britain , and be a more effectual Method of preventing the Use of French Brandy than any yet practiced, and would be no Prejudice to English Spirits, not no Ways lessen the Quantity usually made.",1,be taken,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
35,"And sure I am, it highly becomes the Wisdom of the Nation to encourage the Colonies Abroad, each of whose Inhabitants, one with another, gives Bread to three (at least) of their Fellow Subjects in their Mother Country, I may say those of this Island do so treble that Number.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
36,"Now, could we but obtain the Liberty of exporting our Sugars to Foreign Markets, on paying the Duty it leaves in Great Britain upon Exportation, with other Encouragements, this Island might be rendered the greatest in America , and would become much more Advantagious to Great Britain , in taking off more of its Manufactures, and employing a greater Number of Shipping and Sailors, in Proportion to the Increase of its Produce.",1,might be rendered,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
37,"For I assure you, that four Fifths of the valuable and improveable Land in this Island is not settled or cultivated, and lies waste as a Receptacle only for our rebellious Runaway Negroes.",1,is not settled,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
38,"What I have said is sufficient to shew the infinite Value of this Island, its present miserable Circumstances, and the Necessity of some immediate Relief and Encouragement, to prevent the impending Ruin of the Inhabitants, and the utter Loss of this inestimable Jewel in the British Diadem.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
39,"WHEREAS by an Act, entituled, An Act for the better ordering and governing of Negroes and all other Slaves in this Province, it is Enacted, That no Master, Mistress, Overseer, or other Person whatsoever, that hath the Care or Charge of any Negroe or Slave, shall give their Negroes or other Slaves leave on Sundays, Fastdays, Holydays, or any other Time, to go out of the Plantations, without a Letter to go out of the Plantations, without a Letter or Ticket, except such Negroe , or other Slave, as wear a Livery;",1,is Enacted,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
40,"and every Person, who shall see any Negroe , or Slave, out of his Master's Plantation, without a Ticket, or Leave in writing from his Master or Mistress, or some other person by his or her Appointment, or some white person on the Company of such Slave, to give an Account of his Business, except as aforesaid, are impower'd to correct such Slave by whipping, not exceeding Twenty Lashes.",1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
41,"And every Overseer of a Plantation, which shall not (when in his power) apprehend every strange Negro, or other Slave, which he shall find in his Master's or Mistress's Plantation, without Leave, as foresaid, except as before excepted, and after apprehended shall neglect to punish him, by whipping as aforesaid, shall forfeit Twenty Shillings, the one half to the Poor, to be paid to the Churchwardens of the Parish, where such Forfeiture shall become due, and the other half of him, that will inform for the same, within one Week after such Neglect.",1,be paid,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
42,"Provided always nevertheless, that every Master, Mistress, or Overseer, shall and may have Liberty to whip any strange Negro, or other Slave coming to his or her Plantation, with a Ticket, on Sundays, Fastdays, Holydays, or any other Times, unless it shall appear to them, that the Business or Errand of the said Slave was to the Master or Mistress of such Plantation, and not to visit, idle, loyter or play with the other Negroes , any thing before mentioned to the contrary thereof notwithstanding.",1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
43,"And that no Slave may make farther or other Use of any one Ticket, than was intended by him or her, that granted the same, every Ticket shall be dated, and particularly mention the Name of every Slave employed in the particular Business, and to what place they are sent, and what time they are to return.",1,"intended by him or her, that granted the same, every Ticket shall be dated, and particularly mention the Name of every Slave employed in the particular Business,are sent",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
44,"And if any person shall presume to give any Negroe or Slave a Ticket in the Name of his Master or Mistress, without his or her Consent, such person so doing shall forfeit the Sum of Forty Shillings, one half to the said Poor, to be disposed of as foresaid, the other half to the person offending, within one Week after the Offence committed.",1,be disposed,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
45,"And if he have not sufficient to pay the said Forty Shillings, any Two Justices of the Peace shall have power to inflict any corporal punishment on the Offender, for the willing counterfeiting such Ticket, by ordering such Offender to receive twenty Lashes on the bare back.",1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
46,"And for the better Security of all such persons that shall endeavour to take any Runaway, or shall examine any Slave for his Ticket, passing to and from his Master's or Mistress's Plantation, it is hereby declared lawful for any white Person, to beat [ ] or assault, and if such Negroe or Slave cannot refuse to shew his Ticket, or by running away, or Resistance, shall avoid being apprehended or taken.",1,"is hereby declared,being apprehended",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
47,"It is likewise further Enacted, that [ ] Owner or Head of any Family shall give a Ticket to go to CharlesTown, or from Plantation to Plantation on Sundays, excepting it it be for and about such particular Business, as cannot reasonably be delayed to another Time, under the Forfeiture of Twenty Shillings;",1,"is likewise further Enacted,be delayed",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
48,"and in every Ticket, in that Case given, shall be mentioned the particular business that such Salve is sent about, otherwise such Slave shall be dealt with, as if he had no Ticket.",1,"shall be mentioned,is sent,shall be dealt",3,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
49,"It is likewise further Enacted, That in case any Negro, or other Slave, shall harbour, conceal, entertain, and give Victuals to any Runaway Slave, knowing him or her to be such, That upon Complaint made thereof to any Justice of the Peace, such Negro or Slave by order of the Justice shall be severely whipped, not exceeding Forty Lashes.",1,"is likewise further Enacted,shall be severely whipped",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
50,"And whereas several Owners of Slaves used to suffer their said Slaves to go wither they will, and work where they please, upon Condition, that the said Slaves do bring their aforesaid Masters so much Money, as between the said Master and Slave is agreed upon for every day, the said Slave shall be so permitted to employ himself;",1,"is agreed,shall be so permitted",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
51,"which practice hath been observed to occasion such Slaves to spend their time in looking for opportunities to steal, in order to raise Money to pay their Masters, as well as to maintain, themselves and other Slaves their Companions in Drunkness and other evil Courses.",1,been observed,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
52,"For the prevention whereof it is Enacted, That no Owner, Master or Mistress of any Family shall suffer, or permit any Slave to go wither, and work where they please, under the penalty of the Forfeiture of Five Shillings Proclamation Money, for every Day he, she, or they shall willingly suffer any Slave to do as foresaid, And every person employing any Slave without a Ticket from the Owner of such Slave, shall forfeit Five Shillings Proclamation Money per Diem to the Informer, for all the Time he shall so employ such Slave .",1,is Enacted,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
53,"over and besides what he paid, or agreed to pay such Slave for his Work.",1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
54,"Provided nevertheless, that the said penalty of Five Shillings per Diem shall not extend to any person, where the property of such Slave is disputable.",1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
55,"P rovided also nevertheless, that nothing in this Act shall be construed, or intended to hinder any person from letting their Negroes or Slaves to ire by the Year, or for any lesser time, or by the Day, so as such Negro or Slave is under the Care or Direction of his Master, or some other person by his order entrusted with the Slave, and that the Master is to receive the whole of what the Slave shall earn, and that the person employing such Slave, have a Certificate, Note or Memorandum thereof in writing, from the Owner, Attorney, or Overseer of such Slave.",1,shall be construed,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
56,"It is likewise further Enacted, that every Justice of the Peace, in the County where he lives, who shall know or be informed of any Slaves keeping any Horse or Horses, or any neat Cattle, shall cause the same to be taken away and sold, and the Monies thereby arising to be given to the Churchwardens for the Use of the poor of the Parish.",1,"is likewise further Enacted,be informed,be taken,be given",4,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
57,"And if any Master or Mistress of any Slave, or any white person shall take upon him to vouch any Horse or Neat Beast so taken away to belong to him or them, the proof shall lie upon such Master, Mistress, or other white person;",1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
58,"and they shall make oath before the Magistrate who caused the said Horse or Cattle to be taken away, that such Horse or Neat Beast did bona fide, at the time of it's being taken away by the Magistrate, belong to him the Claimer, and not to any Negroe or other Slave whatsoever.",1,"be taken,'s being taken",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
59,"And the Master, Mistress, or any other person, laying claim to any Horse or Neat Beast so seized, shall be served with an Order of such Justice, to shew cause why such Horse, or Neat Beast should not be sold at a Day, time and place affixed by the said Justice;",1,"shall be served,be sold",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
60,"and not appearing, or appearing and not giving sufficient cause to the said Justice, the said Justice of the Peace, shall proceed to make Sale, or order the same to be sold;",1,be sold,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
61,and such Sale shall be binding against all persons whatsoever.,1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
62,"And it shall be lawful for any person to seize Hoggs, kept by Slaves, and all Boats and Canoes belonging to any Slaves, and shall give Notice to the next Justice, who shall proceed to sell the same in manner aforesaid.",1,"kept by Slaves, and all Boats and Canoes belonging to any Slaves, and shall give Notice to the next Justice, who shall proceed to sell the same in manner aforesaid",1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
63,"And it is also further enacted, that every Person who shall send any Slaves in Periaguas, Canoes or Boats shall give them a Ticket for that purpose.",1,is also further enacted,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
64,N.B.,1,,0,0,0,0,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
65,"The foregoing Extract of the NegroLaw is here published, that no one may for the future plead Ignorance.",1,is here published,1,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
66,"The several Constable sin and about CharlesTown will have Warrants given to them, empowering them to take up all Negroes , which shall be found without proper Tickets: And all Masters, Mistresses, or others, offending in any of the foregoing Particulars, will be prosecuted as the Law directs.",1,"shall be found,will be prosecuted",2,1,1,1,3,CorpusOne_text_files/text_1734_05_04_row_3.txt,1734_05_04
67,"Letters from Jamaica of the th of March bring an Account, That the Assembled of that Island had voted s.",1,,0,0,0,0,4,CorpusOne_text_files/text_1734_05_04_row_4.txt,1734_05_04
68,"per Head on all the Negroes on each Plantation, d.",1,,0,0,0,0,4,CorpusOne_text_files/text_1734_05_04_row_4.txt,1734_05_04
69,"per Head on Catttle, s.",1,,0,0,0,0,4,CorpusOne_text_files/text_1734_05_04_row_4.txt,1734_05_04
70,"per Pound on House Rents, and l.",1,,0,0,0,0,4,CorpusOne_text_files/text_1734_05_04_row_4.txt,1734_05_04
71,"on the Merchants of Kingston, in order to the more effectual reducing their Rebel Negroes, which increase daily  The Governor called a Grand Council of War, in order to make Martial Law,  Field Officers appeared but a great Majority was against it.",1,,0,0,0,0,4,CorpusOne_text_files/text_1734_05_04_row_4.txt,1734_05_04
72,"The Number of Negroes on this Island are computed to be about Eighty Thousand, and the Whites not Nine Thousand, which strikes them all with a general Consternation and are afraid they are not of themselves able to subdue them without immediate Help from England.",1,are computed,1,1,1,1,4,CorpusOne_text_files/text_1734_05_04_row_4.txt,1734_05_04
73,"Extract of a Letter from Antigua, dated Jan. , .",1,,0,0,0,0,5,CorpusOne_text_files/text_1734_05_11_row_5.txt,1734_05_11
74,"There is a Blast upon the canes, which never was known in this Island before, which destroys them wholly wherever it come and many hundreds of Acres are wholly lost.",1,"was known,are wholly lost",2,1,1,1,5,CorpusOne_text_files/text_1734_05_11_row_5.txt,1734_05_11
75,It's very sickly in this Island;,1,,0,0,0,0,5,CorpusOne_text_files/text_1734_05_11_row_5.txt,1734_05_11
76,"they die with a fever in two Days time, and many of an unusual  Throat in three Hours.",1,,0,0,0,0,5,CorpusOne_text_files/text_1734_05_11_row_5.txt,1734_05_11
77,"But it seems, at Home they are resolved to defend the WestIndies, for  hours since a Letter from London informs, that nine Men of War a Regiment of Soldiers, and  Cannon are preparing for the WestIndies.",1,are resolved,1,1,1,1,5,CorpusOne_text_files/text_1734_05_11_row_5.txt,1734_05_11
78,"Sixteen Days before my Arrival at Antigua, the Negroes on the Island of St. John's arose, and cut off the Whites, kill'd as Men, and a Remnant fled into the Wilderness.",1,,0,0,0,0,5,CorpusOne_text_files/text_1734_05_11_row_5.txt,1734_05_11
79,"The station'd Ship of  sailed from Antiguafive Days after this fact, for these Relief, but to Day we had of the Negroes at Kit's, that the Week before last they attempted the same in that Island, by setting Six Houses on Fire, but were prevented of that Design, by a Negro that had a Regard for his Master, disclosing the Plot.",1,were prevented,1,1,1,1,5,CorpusOne_text_files/text_1734_05_11_row_5.txt,1734_05_11
80,"By Capt. Pico, who arrived here on Friday last in Twenty one Days from St. Thomas's, we are advis'd, That when he was there (about the latter end of July last) there came in a French Sloop belonging to Martineco, one Myet Master, with Thirty five Men and eight Guns, who had been upon a Trading Voyage on the Coast of Porto Rico, of which the Spaniards having Information, they fitted out a Sloop with about Sixty Men and ten Guns, with strict Orders, if the Frenchmen offered to fire a Gun, to give him on quarters;",1,,0,0,0,0,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
81,"as soon as the Spaniard came up with the Frenchmen, he fired upon him, which complement was soon answered, which presently drew on broadside and broadside, but the Spaniard fired so high that he never touch'd the Frenchmen, whereas he, on the contrary, hull'd the Spaniards several Times, and kill'd and wounded him Eight or Ten Men, upon which finding himself overmatch'd (and being very near the Shoar, and in a Calm) he put some Powder and Shot into a Canoe, with a design to go on Shoar to a small Fort where was mounted Four Guns (whither also was a great Number of Spaniards drawn together to behold the Engagement) and from thence to fire upon him, which the Frenchmen observing he let sly upon the Canoe and put them all a Swiming;",1,"was soon answered,was mounted",2,1,1,1,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
82,"after that the Frenchmen boarded the Spanish Sloop and plundered her, and setting her on Fire, disappointed the poor Spaniards of their expected plunder.",1,,0,0,0,0,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
83,"The French Sloop came into the Harbour of Thomas' s with the Spanish Colours flying under his own, and gave an Account of the Affair as is above related.",1,,0,0,0,0,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
84,"Capt. Pico also informs, That after several fruitless attempts to suppress the rebel Negroes at St, John's near that place, (of whose insurrection & murthering the Inhabitants, we formerly mentioned) the Company's Merchant went up to Martineco, to procure some Frenchmen and Indians, who were acquainted with the method of Hunting in the Woods for that purpose, who accordingly came down with two Sloops, each having about one Hundred Men on board, well equip'd for Business upon whose landing;",1,were acquainted,1,1,1,1,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
85,"the Negroes engages them, but after they had lost five or six of their Men they fled, and afterwards as the Frenchmen were marching in pursuit of them, they found several of them, to the Number of Forty or Fifty, lying dead, whom they supposed to have kill'd themselves to prevent being taken and tortured as they might expect;",1,being taken,1,1,1,1,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
86,"but notwithstanding the industrious Searches of the French, about Fifteen of them kept themselves concealed;",1,,0,0,0,0,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
87,"who, upon the Sloops going away, returned to their Masters Plantations, and to their usual Labour, upon which their Masters agreed to seize them at a certain Hour (left there should be a discovery, and so some of them escape,) which accordingly they did, and sent them to the Fort at St. Thomas's, where they soon had their Tryal, and were condemned to die in several Forms of Torture, (according to the Custom of those Governments,) which was to put in Execution the very Day he left the Island;",1,were condemned,1,1,1,1,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
88,but two of them to prevent it had put an End to their Lives the night before the intended Execution.,1,,0,0,0,0,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
89,"It is observable, that one of the Rebels was so hardy, that he would not go in with the rest, but was resolved to kill some body before he was taken, upon which a Company went out and shot him, so an End was put to the melancholy Scene, thad had occasioned so much Trouble and Expence to the poor Planters there.",1,"was resolved,was taken,was put",3,1,1,1,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
90,"The Captain also informs us, That it is very sickly at St. Thomas's.",1,,0,0,0,0,6,CorpusOne_text_files/text_1734_12_21_row_6.txt,1734_12_21
91,"Boston, Jan. .",1,,0,0,0,0,7,CorpusOne_text_files/text_1735_03_01_row_7.txt,1735_03_01
92,"Yesterday arrived Capt. Cellins in a Sloop from Jamaica,  Days passage, by whom we have Advice, That about  Soldiers were arrived at Port Antonio in that Island from Gibraltar, being sent to join the Militia there, in order to pursue and suppress the Negroes who continue in Rebellion, which 'twas hop'd would soon be effected.",1,"were arrived,being sent,be effected",3,1,1,1,7,CorpusOne_text_files/text_1735_03_01_row_7.txt,1735_03_01
93," That a few days before they sailed, a Man who was a good Liver in that Island, was waylaid and kill'd by the Negroes about  Miles off of Kingston, having been shot at by them, they lodged  or  Bullets into his Body.",2,having been shot,1,1,0.5,1,7,CorpusOne_text_files/text_1735_03_01_row_7.txt,1735_03_01
94," In the very cold Weather we had last Week, several of Capt. Cellin's Men had the Joints of their Fingers and Toes frozen.",2,,0,0,0,0,7,CorpusOne_text_files/text_1735_03_01_row_7.txt,1735_03_01
95,"Capt. Underwood of this Town, who was taken by the Spaniards in the Bay of Honduras about  months ago, having with much Difficulty got his Liberty, is come Passenger in this Sloop, and confirms the above News of Capt. Dursey's taking the Spanish Privateer, &c.",2,"was taken,is come",2,1,0.5,1,7,CorpusOne_text_files/text_1735_03_01_row_7.txt,1735_03_01
96,"By Capt. Bardine, who arrived here on the th Instant, from the North side of Jamaica , we are informed, that a body of Men Whites and Blacks belonging to the Parishes of St. Ann's and St. James's, in two Days March from the Queen of Spains Valley (so called) came up with a Party of the rebellious Negroes in the CockPitts, killed , wounded  and took  Prisoners.",1,are informed,1,1,1,1,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
97,The English Negroes behaved bravely in order to suppress the Rebels .,1,,0,0,0,0,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
98,"NewYork, Aug. .",1,,0,0,0,0,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
99,On the th Instant arrived here a Brigt.,1,,0,0,0,0,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
100,"in  Days from Jamaica, the Master whereof says, the Day before he sailed, it was reported, the Parties, which were out after the rebellious Negroes , had killed and taken about  of them, and had taken about  Fire Arms.",1,was reported,1,1,1,1,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
101,"That the Government were about making Roads clear through the Island, for the better suppressing these Negroes , and are for continuing Marshal Law.",1,,0,0,0,0,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
102,"That the Governor was not then arrived, but daily expected.",1,was not then arrived,1,1,1,1,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
103,"That Commodore Dent was arrived there from England, and some other Men of War;",1,was arrived,1,1,1,1,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
104,That  or  Men were still out after the rebellious Negroes .,1,,0,0,0,0,8,CorpusOne_text_files/text_1735_09_20_row_8.txt,1735_09_20
