newspaper,newspaper_ID_histCommons,printer,date,written_date,year,text,resistance_tag
The Virginia Gazette,1,William Parks,1737_02_11,"February 11, 1737",1737,"London, Nov. 6. Yesterday
being the Anniversary
Thanksgiving for the
Gunpowder Treason Plot, when
King, Lords and Commons
were deliver'd from the bloody
Designs of the Papists, was
kept as usual; and it being also
the Landing of King William at
Torbay, who came to redeem us
from standing Armies in Times
of Peace, from septennial
Parliaments, and other
Incroachments of the
Prerogative; and who restor'd to
us that inestimable Blessing of
Triennial Parliaments, must
make it doubly acceptable to all
Englishmen, who consider the
great and happy Deliverances
on that Day.
As some People have idlely
imagin'd that King William
landed the 4th, his Birth-Day;
see what Bishop Burnet, the
favourite of the Faction, says,
Vol. I. p. 787. 'On the 3d of
November we pass'd between
Dover and Calais, and before
Night came in Sight of the Isle
of Wight. The next Day (the
4th) being the Day in which the
Prince was both Born and
Married, he fancied if he could
land that Day, it would look
auspicious to the Army, and
animate the Soldiers. But we
all, who considered that the
Day following (the 5th) being
Gunpowder Treason, our
Landing that Day, might have a
good Effect on the Minds of the
English Nation, were better
pleas'd to see that we could
land no sooner.",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1737_03_05,"March  5, 1737",1737,"GENOA, Dec. 18. THE
last Letters from Bastia
say, that the Hopes of
bringing the Rebels to a
Submission were intirely
vanished.
Before the Retreat of the Lord
Theodore, the Government
made them advantageous
Proposals, but they were not
hearkened to. The Rebles have
since deputed a Person to
Bastia with full Powers to enter
into Negociation. Rivarola,
Commissary of the Republick
questioning the Sincerity of this
Deputation, sent the
Plenipotentiary to the Convent
of the Servites, where he had
him strictly guarded for three
Days: HE afterwards sent for
him, and gave him to
understand, that before he
would enter upon Business, the
Rebels must drop their demand
of the Emperor's Guaranty;
and, besides, deliver up their
Arms, discover the Names of
the Revolters, and give
Hostages for their Loyalty. The
Propositions which this Deputy
had to make not agreeing with
those Conditions, he was safely
sent back. These Letters add,
that the Chiefs of the
Malecontents having been
informed of the Pretentions of
the Commissary of the
Republick, called a General
Assembly, wherein it was
unanimously resolved to die,
rather to accept such
Conditions: Which confirms us
in our Opinion, that the Rebels
wanted only to gain Time, in
order to have Liberty to feed
the Cattle along the Sea-Coasts;
because it is impossible for
them to subsist during the
Winter in the Mountains, on
Account of the Snow",nonslave
The Virginia Gazette,1,William Parks,1737_04_08,"April 8, 1737",1737,"In one of our Gazettes,
we gave an Account of a
Plot of the Slaves, against
the white People in
Antigua; and we have
now the following more
particular Account, viz.
Extract of a Letter from
Antigua, Oct. 24.
'Here has been a general Stop
to all Business, occasioned by
the happy Discovery of an
accused Negro Plot, which
should have been perpetrated
on the 11th Instant, the
Anniversary of the King's
Coronation, on which Day the
General usually gives a
handsome Ball to the
Gentlemen and Ladies of the
whole Island; but this was
postpon'd 'till the 30th Instant,
upon Account of the Death of
the General's Son at St.
Christophers some little Time
ago: This was the only
Preservative to all our Lives.
The Plot was thus, viz. One
Court, a Negro Man belonging
to Thomas Kirby, Esq; was the
chief Person in this Affair;
Tomboy, a Negro Man
belonging to Mr. Thomas
Hanston; and Hercules, a
Negro Man belonging to Mr.
John Christophers, were to
have been this King Courts
head Generals; and while the
Gentlemen and Ladies were
diverting themselves at the
Ball, which was to have been
held at Mr. Christopher
Dunbar's new House, they were
to convey a great Quantity of
Gun-powder into the Cellar,
and blow the House up: At the
same Time, this King Court,
Tomboy, and Hercules, were to
head a Party of Font Hundred
Men each; one from the East
End of the Town, one from
Otter's Pasture, and one from
Morgan's Pasture, all armed
with Cutlasses, and to fall on
all the Whites in the Town,
Men, Women, and Children,
without Reserve, at the same
Time the House blew up, which
was to be a general Signal to
the other Parts of the Island,
(for they were to place
themselves, or at least look out
on several Eminencies, which,
with a false Fire they were to
make at each Place) was to
convey the Signal through the
Island; then the Negros of each
Plantation were to rise and
destroy all the Whites in their
respective Districts, and so
have made themselves sole
Masters of the Island. How this
happy Discovery was made, is
hardly to be accounted for but
some kind Hand of Providence
induc'd the Magistrates to
enquire more strictly into their
Proceedings than usually they
had done, for playingatDice,
&c. which was contrary to the
wholesome Laws of this Island,
they still discover'd more and
more, till at last this Court,
Tomboy, and Hercules being
suspected, for former Crimes
and high Misdemeaners, were
taken up, and after some strict
Examination, found sufficient
Cause to commit them; and still
more and more Evidences
appearing against them, they
were at length convicted on the
19th Instant at Night. The Day
following, King Court was
brought to the Place of
Execution, there was laid
extended on a Wheel, seiz'd by
the Wrists and Ancles, and so
laid basking in the Sun for the
full Space of an Hour and a
Quarter, or more, when he
begg'd Leave to plead; to which
the Justices gave their Assent,
and be acknowledged every
Thing that was alledged against
him, and what his General
Tomboy had confess'd in Prison
the same Morning, when he
was affor'd his Time drew near
for Execution. At last about
Noon, Mr. King Court (for so
they had actually made him,
and bowed the Knee to him at a
very great Feast they had a
little before the Day they
intended to prosecute their
accurs'd Design) was broke on
the Wheel, and his Kingly Cap
and Canopy was found in some
Negro's Possession; Tomboy
was broke on the Wheel on
Thursday, and Hercules on
Friday; their Bones were broke,
and after, their Heads were cut
off, and stuck up on a Pole of
some considerable Height. Four
more of the Heads of these
honest Gentlemen were burnt
the same Dav in Otter's Pasture,
and To-morrow will be Seven
more, and so many as they can
find leading Men in this Plot.
This is all I can say to the
Affair at present, only that it
puts us all into the utmost
Confusion; all our People are
under Arms, and 'tis believed
will continue so till after
Christmas.",blackUnrest
The South Carolina Gazette,NA,Lewis Timothy,1737_04_23,"April 23, 1737",1737,"We gave our Readers an
Account of a Negro Plot
in Antigua, which was
happily discover'd
before it was put in
Execution, and that
Court, and eleven others
of the Conspirators, had
suffered Death on that
Occasion.
We have since the following
particulars from a Gentleman in
that Island, by a Letter dated
Dec. 13. Viz.
That after the above
Executions, the General and
Inhabitants thinking all Safe,
dismissed the Troops; but as
Providence would have it, that
Night, a Negro who had been
Evidence against the former,
seeing his Master (Maj.
Nuegent) come home, went to
him and told him, Bockorau go
to sleep too soon; when being
ask'd the Reason, showed this
significant Action, He plucked
a single Haircut of his Head,
and said, you do no more than
so; but could not accuse
Particulars. This occasioned the
taking up two or three
suspected, who said, there was
a much deeper Plot, but they
were not thoroughly in the
secret, and if they would come
to the Bottom, they must be yet
more severe: Which piece of
Negro Advice was taken, and
four Persons proved to be in the
first Plot, hung up in Chains
alive, some of which Died in
about 50 Hours, only one
(which was Coll. Morgan's
Ned) survived 8 Days and
Nights: This terrible the others
in Custody, who were kept
apart, so that they made the
following Confession, viz. That
Court (who was a Cormantce)
had begun the Design, and had
had Entertainments in several
Places, on the Island, to draw in
the Negroes that were the Top-
Tradesmen and Born in the
Island (commonly called
Creoles) to his Plot, which they
fell into; but with a different
View to what he apprehended:
For they swore to serve him in
Massacreeing all the white
People, and making him King;
But then among themselves,
carried on a secret Plot, which
was, that as soon as they had
accomplished that, to Murder
him and all the rest of the
Cormantees, and set up a King
of their own; so that Court, his
Generals and Prime Minister
being Executed, affected them
no more than the Loss of so
many Hands; they still went on
with their Design, intending to
execute it on the Christmas
Holidays, when by Law they
are to have three Days allowed
them.
As most of these were the
favorite Negroes, brought up in
the Families, which laid this
Scheme, so they could carry it
on with greater secrecy, many
of the Heads being capable of
Writing and Reading, and had
been taught the Christian
Religion conformable to the
frequent Admonition of our
worthy Diocesan the Bishop of
London, and therefore in
Swearing the Multitude into
their Scheme, they swore them
and administered the Sacrament
to all such as professed
themselves Christians
according to the Rites of the
Bishop's Church, the others
they swore according to their
several Country Forms; which
gives us a Specimen of what
may be expected from
Converting Negroes. Mr.
Martin's Tony and Coll.
Morgan's Ned (who was fine
Mason) took upon them this
Office: Tony was broke on the
Wheel, Ned Gibbetted alive as
above.
In all 36 have suffered. Our
Goal and Guard-House are still
full, and about 20 on board a
Ship Our Magistrates hardly
know what to do further. Such
Executions are shocking! We
are upon Duty every fourth
Day, that is, all white Men,
without distinction, above 16;
and have about 480 Men on
Duty, in the whole Island, per
Day",blackUnrest
The Virginia Gazette,1,William Parks,1737_05_20,"May 20, 1737",1737,"Boston, March 15. We have an
Account from Antigua, That
there has been 60 Negroes
executed there, on Account of
their late Conspiracy; that
many of the Executions were
by Burning, and the Rack,
which many of them endured
with Obduracy. Four of these
Wretches were hung upon
Gibbets in Irons, in a
Quadrangle, so that they cou'd
see and speak to one another;
and they blamed themselves for
not putting their intended
Design in Execution sooner:
One of these was taken down,
on his Promise of making great
Discoveries, after he had
endured his Torments to the
Seventh Day; but when he was
nurs'd up, was as stubborn as
ever; and for that Reason
suffered a second Time. Among
those that were burnt, there was
one Grey with Age, that had
but one Leg. The Number of
those yet to be tried, may be
partly conjuctur'd; for there
were Forty add confin'd on
Board of Capt. Sulliff's Vessel,
for want of Prison room. One
of those miserable Creatures,
during his Confinement, by
some Means or other got a
Knife; but being handeuff'd and
pion'd so as not able to come at
his Throat, stbb'd himself in 7
or 8 Places; but the Pain of his
Wounds caus'd him to make
some unusual Noise, whereby
he was discover'd. and
immediately brought to the
Wheel and broke. On the Day
of Capt. Davis's Departure,
Two Free Negroes were
brought to their Trial, whose
Estates are suppos'd to be
worth 2000l. each. The People
are much harrass'd with
Watching; for it comes to every
White Man's Turn to be on his
Guard, and exercise his Arms.
once in 4 Days.
By the Report of the
Gentlemen appointed by the
Governor and Council of
Antigua, to examine into the
Affair of the said Conspiracy, it
appears, That after the
Execution of 12 of the chief
Conspirators, frequent Saturday
Nights Meetings of great
Numbers if Conspirators, had
been for a great while held at
several Places; and that by
drinking a Health in Rum, or
some other Liquors, mixt with
Grave Dirt, and sometimes
Cocks-blood infused, an Oath
of Secrecy and Fidelity had
been taken by many Hundred
Slaves, whereof the Words
were various; but the Tenor was
to stand by and be true to each
other, and to kill the Whites,
Man, Woman, and Child; to
assist in the Execution of this
when called upon by the
Chiefs, and to suer Death,
rather than discover.",blackUnrest
The South Carolina Gazette,NA,Lewis Timothy,1737_05_21,"May 21, 1737",1737,"They write from Petersburg, that their last Advices from Veronitz Yay, that the Preparations carrying on for equipping the Flotilla are incredible: That 40,000 Men and 20,000 Horses are employed daily for that Purpose: That Prince Anthony of Wolsenbuttel was set out for the Ukraine, to make a Campain, which in all probability will take Place, notwithstanding the Reports of Peace, though it is assured that there will be an Accommodation with the Porte before a decisive Battle happens. Great Dependance is laid on the Emperor's Mediation; and the Court flatters itself with Success from Baron Dahlman's Negociations. Count d'Osterman had been very ill, but was somewhat better.

That according to Letters from Belgrade, Thomas Kouli Kan had found Means to quell the the Insurrection formed against him; since which he has absolutely refused to ratify the Peace concluded with the Port; and that to this Event was chiefly owing the Pacifick Disposition of the Grand Signior What may be depended on is, that the Court of Russia has made strong Representations to Thamas Kouli Kan, concerning the Treaty of Peace agreed on with the Porte.",nonslave
The Virginia Gazette,1,William Parks,1737_05_27,"May 27, 1737",1737,"They write from Rome, That Count Trivelli, a Neapolitan, had been beheaded there, for being the Author of some satirical Writings against the Pope; that Father Jacobini, who was sentene'd to be beheaded on the same Account, and obtain'd the Favour of being sent to the Gallies, through the Interest of Cardinal Guadagni, the Pope's Nephew, who was most male treated by the Priest and the Count. These Punishments have not produced the desired Effects; Satires abound against the Government, with Threats, that in case certain Grievances complain'd of are not redress'd, a new Insurrection may be expected; upon which the Pope order'd General Oddi to repair to the Palace, and take all proper Measures to prevent any Disorders.

From Naples, That the Court had discover'd some new Correspondences carrying on, contrary to the Peace of the Kingdom; that the Prince della Scalea Spinelli, together with all his Family, was order'd by the King's Command, to depart thence in Six Hours Time, and to retire to some one of his Fiess , there to remain during his Majesty's Pleasure; and that some other Persons were also taken up, on Suspicion of being concern'd in these Intrigues.

In Spain, they are employed in public Processions and Prayers, to obtain the Blessing of Rain; the Drought having continued so long, that the Government is very apprehensive of the Scarcity of Provisions; all proper Measures are taken to prevent an exhorbitant Price upon Corn, and some Bakers have already been committed to Prison, for raising the Price of Bread too high.

Don Emanuel. of Portugal, continues still at Bayonne, he is lodged in the Palace of the Queen Dawager of Spain, who treats him with the utmost Consideration and Respect.

By Letters from Gibraltar we learn, That the Duke of Ripperda has fixed his Residence at Tem in Barbary, but lives in the most private Manner imaginable, almost unknown and unregarded.

They write from Lisbon, that he Great Expence which his Portuguese Majesty has been at, these Two Years past, for the Defence of his Dominions, having obliged his Majesty to lay some new Taxes upon his Subjects, and it being reported that the Shop-keepers of that City were to pay a Tax proportionable to their Stock and Profits; the Populace rose the 28th of December last, O.S. and went in great Numbers to the Square before the Royal Palace, making sad Out-cries and Complaints against the Increase of the Taxes; and that when his Majesty was informed of it, he sent them Word, that he would have Regard to their Grievances; upon which the Populace dispers'd: Nevertheless it was thought sit, by Way of Precaution, to post Companies of Soldiers in the Avenues of the Royal Palace, for Fear of any new Insurrection.

They write from Copenhagen, that the King of Denmark had resolv'd to send some Frigates into the Northern Seas, to prevent the Subjects of those Powers, who contest with his Danish Majesty his Right to trade to the East-Indies, for appropriating to themselves the Navigation upon the Coasts of Iceland and Greenland, which are a Part of the Dominions of the Crown of Denmark.",nonslave
The Virginia Gazette,1,William Parks,1737_05_27,"May 27, 1737",1737,"We are in a great deal of Trouble in this Island; the Burning of the Negroes , hanging them on Gibbets alive, Racking them upon the Wheel, &c. takes up almost all our Time, that from the 20th of October to this Day, there have been destroyed Sixty fine sensible Negroe Men, most of them Tradesmen, as Carpenters, Masons, and Coopers. I am almost dead with watching and warding, as are many more. They were going to destroy all the white Inhabitants on the Island. —Court, the King of the Negros , who was to head the Insurrection , Tomboy, their General, and Hercules their Lieutenant-General, were all rack'd upon the Wheel, and died with amazing Obstinacy.—Mr. Archibald Hamilton's Harry, after he was condemn'd, stuck himself with a Knife in Eighteen Places, Four whereof were mortal, which kill'd him.—Col. Martin's Jemmy, who was hung up alive from Noon to Eleven at Night, was then taken down to give Information.— Col. Morgan's Ned, who after he had been hung up Seven Days and Seven Nights, that his Hands grew too small for his Hand-Cuffs, he got them out and raised himself up, and fell down from a Gibbet 15 Feet high without any Harm; he was revived by Cordials and Broth, in hopes to bring him to at Confession; but he would not confess, and was hung up again, and in a Day and Night after expir'd.— Mr. Yeoman's Quasby Coomach, jump'd out of the Fire half burnt, but was thrown in again.—And Mr. Lyon's Tim jump'd out of the Fire, and promis'd to declare all, but it took no Effect.—In short our Island is in such a miserable Condition, that I wish I could get any Sort of Employment in England.""",blackUnrest
The South Carolina Gazette,NA,Lewis Timothy,1737_06_11,"June 11, 1737",1737,"North-Carolina, May 18, 1737.

MR. TIMOTHY,

Please to insert the following Lines in your Gazette, and in doing oblige your Friend, and humble Servant, &c.

AS [ ] Winds disturb the calmest Sea
And all the Waters rave and mutiny:
The Billows loudly of the Wrong complain
And make an Insurrection in the Main,
The [ ] Troops insult the lofty Clouds
And heave themselves in huge rebellious Crowds;
Tho' the tumultuous rage our Wonder draws
The Water's not to blame, the Wind's the Cause;
And if the aggressing Tempests please to cease,
The inclination's all to Calms and Peace:
The Cause remov'd, the Grievance is redrest
And Nature glides the willing Waves to rest.
So Tyrants drive the People to Extreams,
And they that still stand out, it still inflames;
But when the End's obtained, they always shew
The honest Reasons of the Thing they do,
When Power's reduc'd the Motions always cease,
All tends to Settlements, and all to Peace.",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1737_07_09,"July  9, 1737",1737,"Copy a Letter from a
Secretary of one of the
Ambassadors at the
Porte. IN order to satisfy
your Curiously about
Thamas Kouli Kan, I
shall now acquaint you
with what I know of
him, and you may
depend on it that what I
tell you is Authentick.
Thamas, Kouli Kan, was
born at Ascheir in
Chorazan, a Province of
Persia, His Father was a
Shepherd, which
Profession the Son too
followed for some Time,
till he took a Dislike to
it, from a rising
Ambition to make
himself more
considerable in the
World; and then it was,
that he stole 700 Sheep
from his Father, which
he sold, and with the
Money, listed a Gang of
resolute Banditti, of
whom he put himself at
the Head, and then
plundered several
Caravans, with the
Booty whereof he
enrich'd himself very
much.
After having carried on the
Trade of a common
Highwayman for 7 Years, he
went to the Province of
Muzandran, to which the King
Schach Hussein, had sent his
Son, the Prince Thamas, for
Security, before he was obliged
to yield up Ispahan to the
Rebels. The said King being
afterwards put to Death,
Thamas Kouli Kan, who, by
this Time, had 5000 Men under
his Command, offer'd them,
together with his Treasures, to
Prince Thamas, to restore him
to the Throne of his Ancestors;
engaging, at the same Time,
that he wou'd give him his
Head, if he did not succeed in
his Enterprize; provided, that in
case of such Success, the
Prince, when he became King,
would declare him his Prime
Minister. The Prince consented
to whatever he ask'd, such was
his entire Confidence in
Thamas Kouli Kan, who, to
give him the stronger Proof of
his Attachment, assum'd this
new Name, which signifies, the
Slave of Schach Thamas;
whereas he went before by the
Name of Nadir Kouli. I owe
you, Sir, we have had good
Laughing here at the Scottish
Termination, pretended to be
discovered in the Name Kouli
Kan; and then the little
Romance with which 'twas
adorn'd, was so pat, that
nothing could be better hit off.
The first Thing that Kouli Kan
did, after having raised a very
great Body of Troops, was the
driving of the Rebels from
Mached; after which, he
reduced the Province of Heart,
and carried the Governor's
Head to Prince Thamas, as a
Trophy of his Victory.
His Army being now become
more powerful, he besieged and
took Isahan, and reduced the
Aghuans, a rebellious Nation,
who had subdued almost all
Persia He had the Policy to
carry Prince Thamas with him
in several of his Expeditions to
give the more Reason to think,
that he only acted for that
Prince. The Bravery of Kouli
Kan, his good Treatment of the
Soldiery, and the Generosity
with which he rewarded them,
having procured him their
entire Confidence, he took that
Opportunity to seize the
Government, on Pretence, that
Prince Thamas was incapable
of Governing. In fine, his
Ambition, or rather Vanity,
knowing no Bounds, about a
Year ago, he got himself
declared King of Persia, by the
principal Adherents of his
Party; but this Advancement,
instead of establishing his
Authority, must rather tend to
weaken it. He was beloved as
the Defender to him, that 'tis
now under his pompous Title of
King. As he has reach'd to the
Throne by Usurpation, he has
had Recourse to Wickedness, to
secure himself in the
Possession of it. He has put
Prince Thamas, and all the
Princes of the Persian Royal
Family to Death, as well as
several Persian Lords, of
whom he had a Jealously He
has taken the Title of Schach
Nadir, and upon the Money
coined with his Dye, he has put
a most vain Inscription,
signifying, The matchless King,
the Sovereign of the Four Parts
of the World.",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1737_07_30,"July 30, 1737",1737,"Mr. Timothy,
MY long and tedious Indisposition has prevented furnishing you in Time with particular Remarks on a Letter from Antigua, dated December 13, which you have inserted in your Gazette No. 169. which gives a deplorable Account of the miserable Circumstances that Island labours under from their African & Creolian Tribe. I heartily symphatize with them, and wish it in my Power to extricate them for their Distress. Yet I am satisfied a Method may be found to their Advantage, superiour to what is practized with Them, or among Us, that will effectually answer Their and Our End, (if a superiour Power don't interpose,) and prevent what Patrolls and other Guards (tho' necessary in their Place) cannot.

I'm sorry to find the Author of that Letter so angry with, and incens'd against the Christian ad holesome Admonitions of their ghostly Father the Bishop of London; who only admonished and advised them to instruct those poor miserable Creatures whose Unhappiness it is to be under the heavy Yoke of Task-Masters, in the Knowledge of the Christian Religion, that thereby they may be qualified to discharge their Duty aright, both towards God and Man. This I think every one that is conversant with the Scripture, and acquainted with the Principles of Our most holy Religion, will concur with me, in saying, that it is no more than the Reasonable Service of all those that are possess'd of them. I'm sure they are intelligible beings, and have Souls to save or lose as well as we: Therefore demand that some Care may be taken of their Souls, whilst they are in Bondage, that so, when they come to be set at Liberty by the grim Serjeant of the Grave, they may have a Place of Rest assign'd them, where Barbarity and Cruelty will have no Admittance.

Strange! very strange it is, that to instruct those poor Creatures in the Knowledge of Life and Salvation in and through a Mediator, should involve and plunge us into those manifold Dangers, that threaten our Destruction. Can we suppose that God ever design'd Religion for such an End? God forbid! Yet our Author, (if I take him right) would fain persuade us to believe, that to instruct them in the Knowledge of the Christian Religion, is the only way to destroy ourselves.

Our Author, after he hath been giving us an Account of the Circumstances of their Island, and their Conformity to the Bishop's Admonition, concludes: "" which gives ""us a Specimen of what may be expected ""from converting Negroes. "" As if he had said, 'Tis true, we have often been admonished by our worthy Diocesan, of our Duty, and in Obedience to him, have instructed our Slaves in the Knowledge of the Christian Religion; but what is the consequence of this? Why, Insurrection , Murder and Blood, and what not besides! This is what may be expected from converting Negroes ! 'Tis surprizing, that a Christian, or nay on that bears the Name, should load it with such Infamy.

Tell it not in Gath, publish it not in the Streets of Askelon!

I could say more on this Subject, especially in Relation to the Right we have of making them what they are, but Prudence and our Safety forbids. &c.",blackUnrest
The South Carolina Gazette,NA,Lewis Timothy,1737_08_27,"August 27, 1737",1737,"LONDON, May 7. THE
last Letters from Vienna
mention, that Dispatches
are arrived from Venice
relating to the Pledges
which that Republick
demand to be granted to
her, before she
determines to join her
Arms with those of the
Emperor, to make War
with the Turks: It is
added, that she insists on
keeping.
Turkish Dalmatia, a Part of
Albania, and the Morea, for her
Share of the conquests that may
be made on the Porte, and that
she wish'd that the Emperor
would leave these three
Conquests to her, and form no
Pretension on the Countries
which depend thereon, tho', 'tis
not yet known what Resolution
his Imperial Majesty has taken
on this Demand. Private Letters
from Constantinople say, that
the People having been
Informed of the Conditions of
Peace proposed to the Porte,
were so much irritated with
them, that an Insurrection was
greatly feared: That the Grand
Signior returning from a Party
of Hunting, found a prodigious
Number of People round the
Seraglio, who cry'd, War, War
against the Muscovites, that the
Glory of the Muselmans may be
avenged That this Prince some
Days after held a Divan; in
which it was resolved, not to
permit the Prot to accept of the
Propositions made by the Court
of Russia. The Praetor of
Constantinople was of Opinion,
that one Battle, at least, ought
to be risked. In this Council
was deliberated the Means of
remedying the bad State of the
Finances of the Empire: The
Grand Treasurer represented,
that it would be extremely
difficult to provide for the
Expences of the next
Campaign, even if Count
Bonneyal's Project of levying a
Poll-Tax was put in Execution:
The Musti's Opinion was, to
take Advantage of the People's
Ardour for War, in drawing
from them as much Money as
was possible, and giving them
in lieu Pieces of Leather mark'd
with the Emperor's Arms, for
which they should be promis'd
Specie after the finishing of the
War.",nonslave
The Virginia Gazette,1,William Parks,1737_11_11,"November 11, 1737",1737,"From the Daily Gazetteer, August 16.

THERE is Advice by a Letter from Belgrade, of July 11, O.S. That the Plague among the Tartars in the Crim commits more Ravages than any of the preceeding Mortalities ever did: That the Prince of Saxe-Hilburg-hausen is Master of all the Forts and Intrenchments that were raised in Croatia and Bosnia, by Order of the Renegado Bonneval; and that the Turks at Nissa have evacuated that Place, to the Number of 14,000 Souls.

A particular Letter from Vienna, of the 23d ult. O. S. says, The Court of Spain has acceeded to the General Treaty concluded between the Emperor and France: That as soon as General Wallis entered Wallachia, the Hospodar of that Country offered to put himself under the Emperor's Protection, and to pay him Tribute, upon Condition of being defended against any Insult from the Turks; and that the Hospodar of Moldavia has made the same Offer: Both which, 'tis believed, will be accepted by the Imperial Court, because they promise to join a considerable Body of Troops to the Imperial Army, as well as to pay large Contributions.

The Dutch Minister in Turkey has wrote to the Minister of that Republick at Vienna, that the Sultan was retired privately to Adrianople, for Fear of an Insurrection in his Capital.

There's Advice by Letters from Vistula, of the 11th ult. That the Grand Army of the Turks is so surrounded by the Russians, that it will be obliged to run the Risque of a Battle, in order to get clear of them: That General Lacey, after having defeated the Tartars who opposed his Passage, has laid Siege to Gianicula in Tartary; and that his Army is posted in such a Manner, as to be able to join General Munich in a very short Time.

Late last Night arrived one of the Mails due from Holland, with the Confirmation and Particulars of the Taking of Oczakow and Niffa.

The other most material Advices are contained in Letters from Vienna, of the 27th ult. O. S. which say, that Count Seckendoff has sent General Schmettau with a Detatchment, to lay Bulgaria under Contribution, and to besiege Widdin, which is a Place much stronger than Niffa, of much more difficult Approach, better furnished with Troops, Artillery, and Provisions: And that Count Bonneval, who had assembled a numerous and well-disciplin'd Army in Bosnia, from which the Germans expected great Opposition, is by express Orders from the Porte, set out with all Haste for Constantinople; but for what Reason is not known.

Edingburg, Aug . 9. Sunday last, upon the Arrival of the joyful News of the Princess of Wales being happily deliver'd of a Princess, the Flag was display'd from the Castle, at 12 at Noon the Great Guns were fir'd, and at Night there was a large Bonfire on the Wall. In the Evening the Great Guns from the Men of War in the Road of Lieth were also fir'd off. Yesterday likewise there were publick Rejoicings for the same all over this City from the Morning 'till Night, and in the Evening the Magistrates met in the Town-House, and drank the Loyal Healths under a Discharge of the Fire Arms of the City Guards, and with the Ringing of Bells.

We hear that the Act for bringing to Justice the Murderers of Captain Porteous, has been generally read in the Synod of Merse and Teviotdale.

As one chief Reason for the Legislature's appointing the Clergy to read this Act, was, that it might be the more effectually notified, and that none might pretend Ignorance, we may be allowed to say, that this End is already thoroughly attained; and that no Act of Parliament that ever respected any Part of the United Kingdom, has been more effectually publish'd than this, the same being already known in every Corner of the Nation, even to the meanest Peasant: Tho' it must be owned, it would not have been so universally known, had not the Clergy been appointed to read it from their Pulpits: And even the Scruples which the Brethren have had about it, has been no small Occasion of its Promulgation.

We hear from Glasgow, that the above Act was read in Three of the Churches of that City, viz . the College, Trone, and Rams-horn Churches, but that several of the Ministers were necessarily absent. And

That it will be generally—read in the large Synod of Aberdeen.

The Magistrates have published a new Act of Council, for the more effectual preventing of Riots in all Time coming, and directing all the Inhabitants that are in any publick Office to repair to the Places therein mentioned, to receive Directions from the Magistrates, upon the first Motion of any Uproar, Mob, or Tumult, without further Notice, on the Penalty of 100 l. each Transgressor: And this Day, Printed Copies of the said Act are to be delivered to the Officers of the Trained Bands, Constables, &c.",nonslave
The Virginia Gazette,1,William Parks,1737_12_02,"December  2, 1737",1737,"We see in the Letters of the 2d Inst. from Geneva, the following Extract of a Letter, dated the 24th ult. from M. Amelot, Secretary of State in France, to M. de la Closure, the French Resident at Geneva.

SIR ,

'I received your Letters of the 13th, 18th, and 19th Instant, whereby you inform me of the Insurrection of the Burghers of Geneva against the Magistrates: And his Majesty highly approves of your Behaviour upon this Occasion. 'Tis to be hoped, that the Confidence which both the Parties have reposed in you, will put it in your Power to bring about an intire Pacification. Be sure to let both the Magistrates and Burghers know, how much concerned the King is to hear of the Domestick Troubles in their Government; and how desirous he is, to see the Tranquility of a Republick restored, which has been so long his Ally. It seems, by your last Letter, that the same Ferment is still subsisting; and that the Aim of the Burghers is to establish a Government meetly Democratical; which certainly would not be for the Advantage of the Republick, which has subsisted 200 Years under the Authority of Magistrates: But the Alterations which are contriving, would be such a Subversion, as might be attended with the Ruin of the Magistracy. It were necessary, in the first Place, to lay the Storm, by making the Citizens intirely secure, to recall all those who are removed out of the City, and particularly all the Members of the Little and Grand Council; and to prohibit, under the severest Penalties, all Acts of Violence, Oppression, and Injury, either betwixt private Persons, or between the Parties.'

The Person lately mentioned to be in Trouble at Paris, for having a Lodge of Free-Masons at his House is said to be one Chapelot, a Wine-Merchant, who was fined 1000 Livres for the said Offence, and had his Shop shut and walled up.

Some Letters from Vienna say, that a Plague rages at Bender, and that the Turks therefore talk of leaving the Place.",nonslave
