,document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,doc_id,file_name,date
38,"On the Day of Capt. Davis's Departure, Two Free Negroes were brought to their Trial, whose Estates are suppos'd to be worth l.",1,were brought,1,1,1,1,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
39,each.,1,,0,0,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
40,The People are much harrass'd with Watching;,1,,0,0,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
41,"for it comes to every White Man's Turn to be on his Guard, and exercise his Arms.",1,,0,0,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
42,once in  Days.,1,,0,0,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
43,"By the Report of the Gentlemen appointed by the Governor and Council of Antigua, to examine into the Affair of the said Conspiracy, it appears, That after the Execution of  of the chief Conspirators, frequent Saturday Nights Meetings of great Numbers if Conspirators, had been for a great while held at several Places;",1,,0,0,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
44,"and that by drinking a Health in Rum, or some other Liquors, mixt with Grave Dirt, and sometimes Cocksblood infused, an Oath of Secrecy and Fidelity had been taken by many Hundred Slaves, whereof the Words were various;",1,had been taken,1,1,1,1,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
45,"but the Tenor was to stand by and be true to each other, and to kill the Whites, Man, Woman, and Child;",1,,0,0,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
46,"to assist in the Execution of this when called upon by the Chiefs, and to suer Death, rather than discover.",1,,0,0,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
47,We are in a great deal of Trouble in this Island;,1,,0,0,0,0,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
48,"the Burning of the Negroes , hanging them on Gibbets alive, Racking them upon the Wheel, &c.",1,,0,0,0,0,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
49,"takes up almost all our Time, that from the th of October to this Day, there have been destroyed Sixty fine sensible Negroe Men, most of them Tradesmen, as Carpenters, Masons, and Coopers.",1,have been destroyed,1,1,1,1,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
50,"I am almost dead with watching and warding, as are many more.",1,,0,0,0,0,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
51,They were going to destroy all the white Inhabitants on the Island.,1,,0,0,0,0,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
52,"—Court, the King of the Negros , who was to head the Insurrection , Tomboy, their General, and Hercules their LieutenantGeneral, were all rack'd upon the Wheel, and died with amazing Obstinacy.—Mr. Archibald Hamilton's Harry, after he was condemn'd, stuck himself with a Knife in Eighteen Places, Four whereof were mortal, which kill'd him.—Col. Martin's Jemmy, who was hung up alive from Noon to Eleven at Night, was then taken down to give Information.— Col. Morgan's Ned, who after he had been hung up Seven Days and Seven Nights, that his Hands grew too small for his HandCuffs, he got them out and raised himself up, and fell down from a Gibbet  Feet high without any Harm;",4,"was hung,was then taken,had been hung",3,2,0.5,1,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
53,"he was revived by Cordials and Broth, in hopes to bring him to at Confession;",1,was revived,1,1,1,1,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
54,"but he would not confess, and was hung up again, and in a Day and Night after expir'd.— Mr. Yeoman's Quasby Coomach, jump'd out of the Fire half burnt, but was thrown in again.—And Mr. Lyon's Tim jump'd out of the Fire, and promis'd to declare all, but it took no Effect.—In short our Island is in such a miserable Condition, that I wish I could get any Sort of Employment in England.""",2,"was hung,half burnt,was thrown",3,2,1,1,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_27_row_3.txt,1737_05_27
55,"Boston, Aug .",1,,0,0,0,0,4,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1739_09_14_row_4.txt,1739_09_14
56,"We hear from Jamaica, that the Negroes who had submitted to the Government, had been out and brought in the rest of the rebellious Negroes (upwards of ) upon the some Terms that they have submitted.",1,,0,0,0,0,4,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1739_09_14_row_4.txt,1739_09_14
57,"BOSTON, November .",1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
58,"Extract of a Letter from on board the Squirrel Man of War, at Charles Town, to a Gentleman in Boston.",1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
59,"I Let you know, that we have had the Fortune of taking about  Weeks ago, off St. Augustine, a Spanish Vessel, the Crew consisting of  Men;",1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
60,"her Cargo was Flour, Butter, &c.",1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
61,"which they had bought of Capt. Kip, of NewYork, who is there at Present, but dares not venture out, for fear of being made a Prize.",1,being made,1,1,1,1,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
62,Our Prize had also on board  Ounces of Silver: Our Captain has used the Spanish Crew with the utmost Humanity.,1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
63,We arriv'd here about Week ago with the Prize;,1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
64,"& shall sail again on another Cruise in about  Days, with Two or Three Men of War.",1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
65,"We have News, that General Oglethorpe is going with a great Army both of Soldiers and Indians, to take St. Augustine: This Day our Captain had a Letter from him, which was sent with all possible Haste;",1,was sent,1,1,1,1,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
66,which I suppose is for us to dispatch for that Place.,1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
67,"The rebellions Negroes are quite stopt from doing any further Mischief, many of them having been put to the most cruel Death, as Examples to others.",1,having been put,1,1,1,1,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
68,The yellow Fever is abated;,1,is abated,1,1,1,1,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
69,but has been very mortal.,1,,0,0,0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1740_01_18_row_5.txt,1740_01_18
70,"NEWYORK, August .",1,,0,0,0,0,6,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1752_09_29_row_6.txt,1752_09_29
71,"By Capt. Tudor, who arriv'd here last Week from Anguilla, we have Advice, that the French Guarda Costa's were cruising very thick about Guardaloup and Granterre, and on Pretence of preventing any Assistance to a Gang of rebellious Negroes, attack all the English Vessels they meet: —That one Capt. Bass, being chased by two of them, sought his Way through, and got off with his Mast wounded, and the Wyth of his Toppinglist shot away:—And that Capt. Symmons, in a Schooner belonging to St. Eustatia was drove ashore by one of them, a Sloop of ten Guns, when the Men escap'd, but the Schooner was got off again, and carried away by the Enemy.",1,"being chased,was drove,was got",3,1,1,1,6,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1752_09_29_row_6.txt,1752_09_29
72,"By Captain Mason, from South Carolina, we have advice that the inhabitants there have been greatly alarmed with the report of an intended insurrection of the Negroes to massacre the white people throughout that province, which was to have been put in execution on Christmas Eve, and during the Holidays, but was happily discovered by a Negro woman;",1,"have been put,was happily discovered",2,1,1,1,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1766_03_07_row_7.txt,1766_03_07
73,"that after the discovery the inhabitants were under arms day and night, during the Holidays, and the strictest search made to find out the ringleaders;",1,,0,0,0,0,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1766_03_07_row_7.txt,1766_03_07
74,"that circumstances appeared very strong against them, many fire arms being found concealed;",1,being found,1,1,1,1,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1766_03_07_row_7.txt,1766_03_07
75,"and at several plantations in the country, the house arms were found to have their touchholes plugged up;",1,were found,1,1,1,1,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1766_03_07_row_7.txt,1766_03_07
76,"that four or five of the ringleaders were in custody, and others daily bringing in, but their trails had not come on when he sailed,",1,,0,0,0,0,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1766_03_07_row_7.txt,1766_03_07
77,"Private letters from Holland mention that despatches of importance had been received from the Sieur John Rodier, Governour of Curacoa, from which uneasy apprehensions were formed concerning the safety of the Dutch colony of Surinam, at present threatened with the encroachments of the French, and a fresh revolt of the rebellious Negroes.",1,"had been received,were formed",2,1,1,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1766_03_28_row_8.txt,1766_03_28
78,"By Captain Dyer, of the Anna Teresa packet, who arrived here on Sunday evening last, we have advice that on the th of December last a brig, bound to Barbados, from Newfoundland, run ashore on Need Point, off Bridgetown, and was entirely lost.",1,was entirely lost,1,1,1,1,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1767_03_19_row_9.txt,1767_03_19
79,"The Captain further informs us that an insurrection of the Negroes has happened at the island of Grenada, where a body of them, to the number of six or seven hundred, who had chiefly deserted from the French inhabitants, had taken possession of some inaccessible mountains, from whence they made frequent sallies, and committed terrible devastations upon their master, many of whom they had killed.",1,,0,0,0,0,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1767_03_19_row_9.txt,1767_03_19
80,"When Captain Dyer came away General Melvil had sent a party of  men, with one cohorn, to endeavour to suppress them, but with what success Captain Dyer had not time to learn.",1,,0,0,0,0,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1767_03_19_row_9.txt,1767_03_19
81,"By Captain Richardson, who arrived here yesterday, in  days from the Grenades, we hear that the rebellious Negroes who had fled to the mountains in that island were entirely suppressed, the ringleaders punished, and the others properly disposed of.",1,were entirely suppressed,1,1,1,1,10,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1767_04_16_row_10.txt,1767_04_16
82,"He informs us of a very remarkable trial in that place, wherein a French Gentleman and his son had been tried for the death of a cooper, supposed to be murdered on board a vessel, but that they ware both acquitted.",1,"had been tried,be murdered",2,1,1,1,10,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1767_04_16_row_10.txt,1767_04_16
83,"The cooper had, it is said, discovered some smuggling of the Frenchmen, by which, as it was imagined, he lost his life.",1,"is said,was imagined",2,1,1,1,10,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1767_04_16_row_10.txt,1767_04_16
84,"This may induce smugglers to be a little more free or bold, but at the same time it may not be amiss to observe that they may have a higher tribunal to appear before hereafter, especially when murder is the consequences of their illegal attachments.",1,,0,0,0,0,10,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1767_04_16_row_10.txt,1767_04_16
