newspaper,newspaper_ID_histCommons,printer,print_location,date,written_date,year,reference_type,reference_location,author_informant_gender,text,notes
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1767_10_01,"October 1, 1767",1767,stirring up,"Prince George, Virginia",male,"PRINCE GEORGE, Sept . 28, 1767.

RUN AWAY from the subscriber, the 22d of this instant, three slaves , viz . JUPITER, alias GIBB, a Negro fellow, about 35 years of age, about 6 feet high, knock kneed, star footed, the right knee bent in more than the left, has several scars on his back from a severe whipping he lately had at Sussex court-house, having been tried there for stirring up the Negroes to an insurrection , being a great Newlight preacher, ROBIN, about 25 years of age, a stout fellow, about 6 feet high, has a film over one of his eyes, a sore on one of his shirts, and is brother to Gibb . DINAH, an old wench, very large, near 6 feet high; she has a remarkable stump of a thumb, occasioned by a whitlow, by which the bones of the first joint came out, and is mother to the two fellows. They carried with them a variety of clothes, among the rest an old blue duffil great coat, one bearskin do. a scarlet jacket, and a fine new linen shirt. It is supposed they will endeavour to make their escape to the southward. Whoever takes up, and conveys to me the above slaves , shall have a reward of 50s. for each of the fellows, and 20s. for the wench, if taken in Virginia ; if in any other government, 5l. for each of the fellows, and 40s. for the wench, paid by

GEORGE NOBLE.",runaway slave who was tried for stirring up insurrection
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1767_10_08,"October 8, 1767",1767,stirring up,"Prince George, Virginia",male,"PRINCE GEORGE, Sept . 28, 1767.

RUN AWAY from the subscriber, the 22d of this instant, three slaves , viz . JUPITER, alias GIBB, a Negro fellow, about 35 years of age, about 6 feet high, knock kneed, star footed, the right knee bent in more than the left, has several scars on his back from a severe whipping he lately had at Sussex court-house, having been tried there for stirring up the Negroes to an insurrection , being a great Newlight preacher, ROBIN, about 25 years of age, a stout fellow, about 6 feet high, has a film over one of his eyes, a sore on one of his shirts, and is brother to Gibb . DINAH, an old wench, very large, near 6 feet high; she has a remarkable stump of a thumb, occasioned by a whitlow, by which the bones of the first joint came out, and is mother to the two fellows. They carried with them a variety of clothes, among the rest an old blue duffil great coat, one bearskin do. a scarlet jacket, and a fine new linen shirt. It is supposed they will endeavour to make their escape to the southward. Whoever takes up, and conveys to me the above slaves , shall have a reward of 50s. for each of the fellows, and 20s. for the wench, if taken in Virginia ; if in any other government, 5l. for each of the fellows, and 40s. for the wench, paid by

GEORGE NOBLE.",runaway slave who was tried for stirring up insurrection
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1767_10_15,"October 15, 1767",1767,stirring up,"Prince George, Virginia",male,"PRINCE GEORGE, Sept . 28, 1767.

RUN AWAY from the subscriber, the 22d of this instant, three slaves , viz . JUPITER, alias GIBB, a Negro fellow, about 35 years of age, about 6 feet high, knock kneed, star footed, the right knee bent in more than the left, has several scars on his back from a severe whipping he lately had at Sussex court-house, having been tried there for stirring up the Negroes to an insurrection , being a great Newlight preacher, ROBIN, about 25 years of age, a stout fellow, about 6 feet high, has a film over one of his eyes, a sore on one of his shirts, and is brother to Gibb . DINAH, an old wench, very large, near 6 feet high; she has a remarkable stump of a thumb, occasioned by a whitlow, by which the bones of the first joint came out, and is mother to the two fellows. They carried with them a variety of clothes, among the rest an old blue duffil great coat, one bearskin do. a scarlet jacket, and a fine new linen shirt. It is supposed they will endeavour to make their escape to the southward. Whoever takes up, and conveys to me the above slaves , shall have a reward of 50s. for each of the fellows, and 20s. for the wench, if taken in Virginia ; if in any other government, 5l. for each of the fellows, and 40s. for the wench, paid by

GEORGE NOBLE.",runaway slave who was tried for stirring up insurrection
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1768_05_19,"May 19, 1768",1768,intended insurrection,Montserrat,male,"By Capt. Winter, from
Montserrat, we learn that they
were daily bringing in Negroes
that were concerned in the late
conspiracy there; that on the 2d
instant one of the ringleaders
was sentenced to suffer the
rack, his legs and arms to be
broke, his head to be cut off,
and his body to be burnt, which
sentence was put in execution
two days after; and that two
others of the Negroes had
hanged themselves.",Monsterrat intended insurrection; extract of a letter from London
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1768_06_09,"June 9, 1768",1768,intended insurrection,Montserrat,male,"By Captain Rodgers from
Montserrat we learn, that three
of the Negroes concerned in the
late intended insurrection, had
suffered the rack, two were
burnt, one gibbetted, and one
hanged, besides others that had
destroyed themselves; that
several more were tried, and
found guilty, but sentence was
not passed; and that 70 or 80
still remained on board the
vessels in the harbour, in order
for trial.",Monsterrat intended insurrection concerning; unclear if free or enslaved or freed
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1768_09_22,"September 22, 1768",1768,intended insurrection,Montserrat,unknown,"PHILADELPHIA,
August 29.
A LETTER from St.
Christopher's advises that they
are in terrible confusion at
Montserrat, not only on
account of the late conspiracy
of the Negroes, but with civil
discord and insurrections.
There is a disagreement
between the Governour and
Assembly, and the people being
dissatisfied with the delay in
bringing the Negroes to trial,
with the great and ruinous
expense occasioned thereby,
had risen in a body, destroyed
all the habitations of the free
Negroes, threatened to burn the
gaol with all the Negroes in it
unless immediately brought to
trial, and the commissioners
were in danger of feeling their
vengeance",Monsterrat intended insurrection; appears to be regarding free people of color
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1769_04_06,"April 6, 1769",1769,intended insurrection,Curaçao,male,"Captain Creighton, arrived her
Thursday evening in 6 weeks
frym Curacoa, met with severe
weather on the coast. He
acquaints us that on his arrival
at Curacoa, in December last,
he found the inhabitants greatly
alarmed on a report that their
Negroes had formed a
conspiracy against them;
whereupon guards were
doubled, and necessary
precautions taken to suppress
the attempt, but that when he
left it the island seemed to be
settling into quiet again. A
Dutch frigat of 32 guns arrived
at Curacoa from Holland and
the coast of Guinea, the 25th of
January. The first instant
Captain Creighton spoke
Captain Atkinson from Virginia
for Liverpool, out three days;
and the 4th spoke a brig from
Surinam for Boston, but the
wind blowing fresh he could
not learn the master's name",conspiracy of slaves in Curacao
The Virginia Gazette,2,William Rind,"Williamsburg, Virginia",1769_08_24,"August 24, 1769",1769,intended insurrection,Jamaica,unknown,"LONDON, May 19.
By the last advices from
Jamaica, we are informed of a
conspiracy being discovered
there among the Negroes, to set
fire to the town of Kingston in
several places at once, and, in
the general confusion, to cut
the throats of the inhabitants. A
black fellow, having an amour
with a mulatto girl, belonging
to a family in the heart of the
town, happily sent her a letter
on the very day it was to
happen, in which he acquainted
her with the design, and
advised her to escape to him, in
order to preserve her life. On
the receipt of which, the girl
acquainted her master with the
contents; and the ringleaders
being taken into custody, the
town was thus saved.","discovered ""conspiracy"" of enslaved to set the town of Kingston on fire"
The Virginia Gazette,2,William Rind,"Williamsburg, Virginia",1770_09_06,"September 6, 1770",1770,intended insurrection,"Beaufort County, South Carolina",unknown,"NEWBERN, August 3.
A FEW weeks ago, we
published an account from
Beaufort county, of the murder
of Mr. Henry Ormond, by his
own slaves; since which we
have received a true account of
that tragical affair, which has
been discovered by the
confession of one of the slaves
in the conspiracy: Five of them
conspired against their master,
and on the Sunday night he was
said to have rode from home in
quest of one of his slaves who
was missing, the conspirators,
after their master was a bed,
went up to his room and with
an handkerchief attempted to
strangle him, which they
thought they had effected, but
in a little time after they had
left him, he recovered, and
began to stir, on hearing which
they went up again, and told
him he must die, and that
before they left the room; he
begged very earnestly for his
life, but one of the, his house
wench, told him it was in vain,
that as he had no mercy on
then, he could expect none
himself, and immediately threw
him between two feather beds,
and all got on him till he was
stifled to death. They the horse
off: Next day he was found as
has been before related. The
slaves have been tried, two
wenches execute, and one burnt
at a slake, one made his escape,
and is not yet taken, the other,
who made the confession, is
saved.",small conspiracy of five enslaved in Beaufort County
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1771_04_11,"April 11, 1771",1771,intended insurrection,Jamaica,unknown,"Extract of a Letter from
Jamaica, November 14.
""Thursday Thing that has
occurred here, worth writing,
since my last, has been for
some Time past formed among
the Negroes to massacre every white person in the island. This
hellish Plot was luckily
discovered, usually are, before
put into Execution, and for
which we ought to be thankful
to God. We are now daily
taking up the principal Negroes
of the different Gangs; some of
them hanged, some burnt, and
others be, after being first
strangled. Their Heads are
fixed on along the high Roads,
as a Warning to the rest.""",
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1771_04_18,"April 18, 1771",1771,occurred insurrections,Martinique,unknown,"They write from Barbados that a French Guineaman, in her Passage between Gored and Martinico, had been cut off by an Insurrection of the Slaves , who murdered all the Crew; and that the Ship, after being tossed about for several Weeks, was found at Sea lately, with only nine Negroes alive on Board.",shipboard insurrection of slaves
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1772_11_05,"November 5, 1772",1772,occurred insurrections,Chile,unknown,"Extract of a Letter from Madrid, July 18.

""Our Court has just received the very disagreeable News of an universal rising of the Natives on the Coasts of Chili, who are greatly reinforced and supported by the brave People in the internal Parts of that Country. The Chilestans are the bravest People on the Continent, and ever had a most remarkable Antipathy to the Spaniards, which made them cautious how they trusted the Natives, who have before made Attempts to recover their lost Liberties, but were always subdued, by the Spaniards keeping Possession of the Coasts. The Insurrection that lately happened began at the Town of Baldivia, or Valdivia, where the Gold Mines are situated. It was thus: On the Night of the 14th of May a Body of near ten Thousand Indians came to the Mines, and sell up in the Guards, whom they murdered; they then proceeded to set free the Negroes, but slaughtered all the Whites they came near without Mercy. After this Action they proceeded to the Town, but found the People were alarmed, and had made some Preparations, having shut the inner Gates, and pointed some Guns on the Walls, which they fired incessantly on the Indians, and did great Execution. Finding themselves not able to gain Possession of the inner Town, they set Fire to the Suburbs, and burnt them to the Ground, in which were three fine Churches, an Hospital, and several religious Houses. Having vented their Fury as far as in their Power at Valdivia, and being joined by a Number of Indian and Negro Slaves that dwelt in the Suburbs, they left a Guard to prevent the Spaniards from escaping out of the Town, and proceeded immediately to the Town of Imperial, which they invested, but were obliged to raise the Siege with Precipitation. They marched of as if they intended to serve Villaria in the same Manner. A Vessel was immediately sent from Imperial with Intelligence; and, when the Advices came away for Madrid, an Officer was preparing to march out of Lima at the Head of four Thousand Men.""","also printed in South Carolina Gazette, mentions enslaved negros joining an insurreciton alongside other participants"
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1772_11_12,"November 12, 1772",1772,occurred insurrections,Suriname,unknown,"Extract of Latter from Surinam, September 5.

""This Colony is in the greatest Distress, occasioned by an Insurrection of the Slaves; they are assembled one Thousand strong, very formidable, supplied with Arms and Ammunition, and have defeated our Soldiers, and taken some Six Pounders from them, which they have fortified themselves on an Island, committing great Depredation, annoying, and terrifying the Inhabitants daily. We have made several ineffectual Attempts to subdue them, and about three Months ago they defeated our Escort sent against them. I happened to be at a Plantation where one of their Parties, fifty in Number, came to; they carried off about eighty Negroes, and all the Guns and Ammunition furnished to guard if. We have been obliged to set three our four Hundred of our flautist Negroes free to defend us, and without they do something effectually against them shall be under the most melancholy Apprehensions from these Insurgents""","surinam insurrection, also printed in South Carolina Gazette"
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1773_06_17,"June 17, 1773",1773,occurred insurrections,unknown,unknown,"A Person arrived from Brest
says that Advice is received
there, from the Coast of
Guinea, that a French slaving
Ship having been surprised by
an Insurrection of the Negroes,
who murdered most Part of the
Crew, the Mate, finding no
Possibility to escape the like
Fate, had set Fire to the Powder
Room, and blew the Vessel up,
with upwards of 200 Slaves on
Board.",shipboard insurrection of slaves off the coast of Guinea
The Virginia Gazette,2,William Rind,"Williamsburg, Virginia",1773_06_17,"June 17, 1773",1773,occurred insurrections,unknown,unknown,"A Person arrived from Brest
says that Advice is received
there, from the Coast of
Guinea, that a French slaving
Ship having been surprised by
an Insurrection of the Negroes,
who murdered most Part of the
Crew, the Mate, finding no
Possibility to escape the like
Fate, had set Fire to the Powder
Room, and blew the Vessel up,
with upwards of 200 Slaves on
Board.",(reprint of the same news) shipboard insurrection of slaves off the coast of Guinea
The Virginia Gazette,2,William Rind,"Williamsburg, Virginia",1773_06_24,"June 24, 1773",1773,occurred insurrections,Brazil,unknown,"Lisbon, March 13. The
Lusitania, a Portuguese ship of
war, is just arrived here from
Rio Janeiro, in the Brazils, and
brings advice of an action
which happened between 1100
of European troops, under the
command of the Governor of
St. Sebastian, and a body of
near 20,000 of the rebellious
Negroes and disaffected natives
of the country, in which the
former were victorious, killing
and wounding above 7000 of
the rebels, but could take none
prisoners, as 450 of the
Europeans were killed, and 270
wounded. The battle was lost
on the side of the Negroes for
want of fire arms and
ammunition, as they defended
themselves with uncommon
bravery till their powder and
shot were expended, and then
made an admirable retreat,
notwithstanding a brisk fire
from ten field pieces, which the
Portuguese had.",insurrection of natives and enslaved africans
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1773_07_29,"July 29, 1773",1773,occurred insurrections,Honduras,unknown,"NEW YORK, July 12.

ON Tuesday last Sir John Johnson with his amiable Bride, and a party of Gentlemen and Ladies, set out for Fort Johnson.

We have the Pleasure to acquaint the Publick that Sir William Johnson is now recovered to a good State of Health.

Advice is received from Honduras Bay, dated the 29th of May last, that the Day before the Inhabitants at St. George's Key were alarmed with an Account of an Insurrection having happened among the Negroes in the Old River, which broke out amongst the Slaves belonging to Walter Davidson, who, when the Accounts came away, had murdered two white Men, and being powerful in Number, were proceeding to the next Mahogany Works, to invite or force the Slaves to Join them. A Number of Inhabitants, joined to a Detachment of Sailors from the Diligence Man of War, properly victualled and armed, are just now preparing to set of in Quest of the Revolvers. Every Person possessed of Families and Property in the different Rivers is obliged to quit the Keys, and proceed thither. Such Negroes as are suspected on this Key were last Night taken up, and confined on Board the Man of War. Every Precaution is taken to prevent any farther Disorder, and it is hoped the Insurrection will, with the Blessing of God, be subdued in a Short Time.

On Tuesday Night arrived one of the Transports which left Chatham on the 6th of May, having on Board two Companies of the fourth Battalion of the Royal Regiment of Artillery, under the Command of Colonel Cleveland.","enslaved insurrection in Honduras, St. George's Key"
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1773_08_26,"August 26, 1773",1773,occurred insurrections,Honduras,unknown,"
Extract of a Letter from St.
George's Key, Bay of
Honduras, June 4,
1773.
""On the 28th ult. An
Insurrection broke out among
the Negroes in the Old River,
and at their first setting out they
killed two white Men. By the
Negroes who have made their
Escape from them, we learn
that this Matter had been long
concerting. Three Days ago
there were above 100 armed
Men sent after them; at first
there were only 22 or 23
Insurgents. This Moment we
have received the melancholy
Account, by a White Man and a
Woman who had been taken
and afterwards released by
them, that on the first Instant
the Rebels came to their House,
first bound them to a Post, and
then robbed it of every Thing
they chose to carry off, and
obliged all the Negroes to join
them. The white Man whom
they saved, and Mr. John Hill,
were standing together, when
one of the Rebels shot the latter
dead. They then proceeded to
attack two Families at five
Miles Distance, declaring they
would kill all the white
Inhabitants there; and some
Time after four Guns were
heard to go off at one of the
said Houses, which we fear has
proved fatal to all the Whites.
Their Numbers are now
supposed to be 70 or 80 strong;
we are obliged to be under
Arms Night and Day. Captain
Davis, who commands the
Diligence Sloop of War, has
been extremely kind and usual
with his Men and Arms. There
will be very little Wood of any
Kind shipped from hence this
Year. I believe the Insurrection
will be general. There are
several Negroes in the new
River taken to the Bush; and
yesterday, as a Craft was
coming down the Rio Honde,
they killed the Steersman, and
went off to the Spaniards, who
will protect them. These
Disturbances will altogether
put a Stop to Business; indeed
most People threaten to leave
the Country.""","enslaved insurrection in Honduras, St. George's Key; full letter"
