"doc_id","file_name","sentence","date"
"6","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_01_13_row_6.txt","and the Grand Seignior was assembling an Army of , Men at the City Gates, for his own Security, in which Body there was not to be one Janizary.","1733_01_13"
"7","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_03_24_row_7.txt","Dec. .","1733_03_24"
"7","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_03_24_row_7.txt","Our Last Advices from Spain say, that the whole Empire of Morocco is in a Combustion, upon the Blacks of Mequinez having rebelled, and set the Brother of Muley Abdallah on the Throne, in Aversion to the frequent Executions which the King caused to be made among them;","1733_03_24"
"7","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_03_24_row_7.txt","so that his Majesty will be obliged to withdraw from before Ceuta to quell them","1733_03_24"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","The SUBJECT on Paper Currency Concluded.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","THAT the Prices of our Produce is influenced in the following Manner, I think is very plain.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","When our Crop is so large, as to make a Plenty at the Markets of Consumption, and furnish them with more than they want (supposing the Factors here as Orders at large, and the Freights at common price) then the Prices will necessarily run low on Export;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","& farther, a Scarcity of Ships and Freight high, also beats down the Price still more.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Again, when our Crop falls short, so as not fully to supply the Markets aboard, we then judging the Price will advance at places of Consumption, are thereby encouraged to give the more here (And so much the more as Freights are under the common Rate).","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","But what I've observed constantly to affect most the price of our Produce, is chartered Ships, or Orders to several Factors at the same time, for a certain Commodity, without limiting a price, occasions bidding on each other, and frequently runs it above its true Value.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","If any one think this is not a rational Account, but that the Paper Currency does the Mischief, I desire they would give some better Reasons;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","and shew how it has raised Pitch from  to s.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","in four Weeks, and falling it again to s.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","in ten Days: How it was, that Rice the beginning of Crop, at s.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","fell to s.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","advanced again to s.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","in six Weeks.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","When Silver did not alter Is. per Ounce, or Exchange vary  per Cent.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Or why did not the additional Currency of ,I.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Merchants Notes, afford some Proof of this Objection: That Year it was remarkably the Contrary, for Sterling Bills were never plentier;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","(& Produce was low) but am apt to think, had the Case been otherwise, all that were against that private (beneficial) Bank, would have asserted it as the Cause.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","But says another, let the Planters have Money on their Lands to pay their Debts, they'll keep Rice, &c.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","as home, 'till the Merchant is forced to give the Price they please to demand.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Will they so?","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","(well, when the Sky falls they'll catch Larks) Where is the Man of two Grains of Sense, being in Debt, that will keep his Goods at home, at the Expence of  per Cent.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","And at so much uncertainty, that he can't be sure, but in the End, he may loose  per Cent.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","On the Price of his Goods.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Again, it must be a general Contrivance, and all agree in it, or it won't the Objector allow, it is as easy, and full as likely, that the Merchants in Charlestown, would also combine to Counterplot them, by engaging not to give them more than certain price for Produce;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","and it may be, carry it father, that they would not sell Goods out of their Stores, but a t a higher Advance: Persons living compact, as in Charlestown, may sooner unite to the Prejudice of the Planter, than that they could all join from North to South, through the whole Country, in such a Contrivance.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Further it is to be considered, that the greatest part of the Rice is now made be Gentlemen of Estates, clear of Debt, and therefore the same might be practiced every year past, as well as future;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","but don't we see on the Contrary, these Gentlemen the most forward in cleaning out, & bringing to market: It there may be any who at otherwise, who seems the most prudent and greatest Gainer?","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","The Former no doubt: On the Whole, I think this objection has so little, or rather no Reason in it, that had I not heard it from a Person of reputed Sense, I could not have suggested it.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Now, As to how much Currency is necessary for this Province, some there are, who pretend to determine how much is proper and convenient for carrying on Trade;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","(indeed more than enough in Paper would be a Nusance) but I never yet see any regular Scheme, or the Reason on which it's founded, by those very correct Gentlemen, who say the Sum extant (I mean before the Orders) was Enough, And that's Enough.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","I believe the Usuerer says in his Heart, it's ever too much, the less there is the higher the Interest;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","I'm not very careful to obtain the Smiles, nor do I any more regard the Frowns, of these Persons.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Humanity ought to prevail, and if we are commanded to Love our Neighbours as our selves, what is there less implied, than serving our Neighbour in any Degree, wherein we receive equal Advantages;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","therefore the Interest should be ascertained at a reasonable Rate, to afford (if possible) Advantages on both Sides.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Now the Method I would propose for ascertaining the Sum needful for carrying on the Trade of this Province: Let a LOANOFFICE be opened on the Terms aforesaid, and the Interest kept at  per cent.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","I dare venture to say, no more will be borrowed than what's absolutely wanted, and necessary for conveniency of Trade;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","and to that I would confine the Sum, for at least some Years, tho' it should not exceed ,I.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Principle, nor do I think it would come to ,I.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Proclamation Money.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","It would not appear unjust to offer some thing for ascertaining the Rate of Interest, I think it admits of only one general Rule, that it should (and does in all well regulated places) bear (constant) proportion to the Profits arising on Trade, for it's that which ascertains also the Value of I and every where;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","this is plain, by observing those places where Trade is carried on with least Profit, there Interest is lowest;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","and where there is no Commerce, there is no such thing as Interest Money.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","But, as in this Country, we have so little trade of our own, that we can't judge of it;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","the Fountain and Center of our Commerce being in Great Britain: However, we have Lands, and must estimate the annual Profit that way;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","here, I'm very sorry, the Scene opens with a very melancholy Prospect (to those already in Debt), our Staple Commodities falling in price from year to Year, threatens Proverty and Distress to those who have nothing else to depend on;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","and of late yeards, the Experience of many Planters confirms, I beleive, this Observation;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","that with all their Industry and Cre, they have not been able to make  per cent.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Profit on Land and Slaves;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","I would advise such to be wife in time, and judge whether it would not be much better to sell off and balance with the Creditor, that what remains may be clear, than suffer a flow (but certain) Moth of Interest, insensibly to catout the whole, It seems, most of our Neighbours to the northward don't exceed  per cent.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","per Ann.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","The Sugar Islands were at , 'till of late;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Barbadoes (if I am right informed) have reduced to .","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Perhaps, it might have been better, if they had done it sooner, and prevented many of their Inhabitants going off.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","Putting every thing together, I would humbly submit it, whether the Circumstances of this Province can well afford continuing the Interest at  per cent.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","perhaps it may be necessary to do it, until such time as the publick Debt, , old Bills be paid off which would be erected, according to my Scheme, in six Years or less;","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","at which time, if not before, I doubt not, all will agree to reduce Interest, unless, in the mean time, we should be so fortunate, as to find some new Staple or Manufacture, to give new Life to the Planter and others in Trade.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","To Recapitulate the Substance of what has been offered on this Subject.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt",".","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","A standing Paper Currency is proposed, to continue until the Nature or Circumstance of our Trade will furnish us with that which is better, Silver or Gold.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt",".","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","That it be put on such a Foundation, as shall be just and equal to all concerned, which it is conceived it will be, if the Bill be kept to its original Value.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt",".","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","That it will be effected by issuing it on Loan, provided the Interest be paid in Silver or Gold.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt",".","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","After paying the Debt now owing by the Publick the Interest be applied towards the Support of Governement.","1733_04_07"
"8","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt","If this Scheme, or something like it, may be thought of Use, something further may be offered towards it","1733_04_07"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","Amsterdam, April .","1733_06_30"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","'Tis advised from Constantinople of the th of February, that the Affairs of Persia continue to embarrass the Ottoman Port very much.","1733_06_30"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","That it had been resolved some time before the Date of these Letters, that the Grand Seignior shou'd go in Person to command the Army in Persia, in order to animate by his Presence, the Turks Troops, who are averse to engage in a War to shed Musselmans Blood;","1733_06_30"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","and also that the Grand Vizier, who has already served against the Persians, and who knows their Manner of Fighting, should accompany the Sultan;","1733_06_30"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","but upon certain Representations made of the Grand Seignior's leaving that Capital, where the Spirit of Rebellion was not yet entirely extinguished, they had altered their Opinion, and appointed Solyman Osman, Baffaw for that Command, with Power Power to raise Troops in Romelia.","1733_06_30"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","This new General was ordered to set out immediately, and all possible Preparations were made to resist an Enemy so bold and dangerous as the Persian General is known to be, and that Money, Troops and provisions were sending in all haste to Persia for that purpose.","1733_06_30"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","'Tis added that the  Ships of War, as a present to the Algerines, sailed a few Days before the Date, with  Bombs, and were to join the Algerine Ships, which were to come into the Ports of the Empire to take in Troops and Ammunition;","1733_06_30"
"9","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt","and that a Squadron of ten Sultan's would put to Sea soon, not only to succour the Algerines, but to endeavour to take Revenge on the Maltese, for sinking lately the Ship of the Turks Admiral.","1733_06_30"
"10","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1734_05_04_row_10.txt","Leghorn, Dec. .","1734_05_04"
"10","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1734_05_04_row_10.txt","We have Advice from Corsica, that the Insurrection of the Inhabitants of that Island spreads every Hour: That the Number of the Revolters in the Province of Bologna only, is upwards of ;","1734_05_04"
"10","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1734_05_04_row_10.txt","and that these last were preparing to attack San Pelegrino, knowing that in case they can carry the place, they shall then be Masters of a Key to let in any Foreign Succours that shall be dispos'd to assist them.","1734_05_04"
"10","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1734_05_04_row_10.txt","This second Rebellion of the Corsicans is far more important to the Genoese, than that which the Emperor lent his Troops to put an End to, on Account of the Desperate Resolutions which these people have taken to throw off their Yoke at all Adventures.","1734_05_04"
"11","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1734_06_29_row_11.txt","CHARLESTOWN, June .","1734_06_29"
"11","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1734_06_29_row_11.txt","On Wednesday the  Inst.","1734_06_29"
"11","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1734_06_29_row_11.txt","was brought in here the Mary Scooner from the Havanna, under the command of Capt. William Vaughan;","1734_06_29"
