newspaper,newspaper_ID_histCommons,printer,date,written_date,year,text,notes,written_date,resistance_tag
The South Carolina Gazette,NA,Lewis Timothy,1734_06_29,"June 29, 1734",1734,"CHARLESTOWN, June
29. On Wednesday the
26 Inst.
was brought in here the Mary
Scooner from the Havanna,
under the command of Capt.
William Vaughan; and on
Thursday all the Persons on
board were ordered to appear
before his Majesty's Attorney
General to be examin'd upon
Oath: Their Examination lasted
from eleven in the Morning till
past 5 in the afternoon, and
imagining it may not be
disagreeable to the curious
(having been present when
their Depositions were taken) I
shall endeavour to oblige my
Readers with the justest
Representation of the Affair as
far as my Memory will permit.
The Scooner was the Property
of Don Francisco de Heymes,
who went on board her with his
Lady Donna Petrona de Castro
lately married, a young Lady of
21 Years of age, intending to go
to Port Guarico, al. Cape
Fransois, to visit their
Relations there, the other
persons on board were Dieagno
Captain, Juan Salvadore Mate,
one Frenchman from
Bourdeaux, and anthor old
Frenchman Jean Troistours,
going to Marseilles to his
Family, being a Wife and 5
Children; a Carpenter Joseph [
], a Cook, 4 Men of the Canary
Island, one Malteeze, a
Frenchman Peter Blanchard,
Sailors, and Negro Boy
attendant on the Lady.
They set sail from the Havanna
the latter end of May; 4 days
after the 4 Canary Men having
secretly entered in a
Conspiracy, arose in the night,
and kill'd the Captain, Mate,
and the Bourdeaux Passenger.
The Owner haring the Noise,
and going upon Deck, was met
by the 4 Canary Men at the
Cabin Door, and stabbed
immediately. Then one of them
Sword in hand commaded
Peter Blanchard the French
Sailor to go to the Helm,
enquiring in the interim if he
knew where the Money was;
who answering no, they went
down and searched the Cabin,
but to no purpose: They then
ordered the said Peter to search
the Lady's Bed, which he was
oblig'd to execute, but
discover'd none. They then
caused the Carpenter to unceal
the Cabin, where they found a
Quantity of Gold and 8 or 9
Bags with Silver, which they
were willing to divide among
the Ships-Company, but all
refused to participate of it, the
Carpenter only excepted.
'Twill not be very difficult for
any person to imagine the
terrible condition the young
Lady was in, seeing her
Husband murder'd, and herself
surrounded with, and entirely at
the mercy of such execrable
Villains, who robb'd her of her
Ear-rings, a Diamond Cross,
and several Rings.
The said 4 persons being
murder'd, the Pirats call'd all
the rest of the Ships Company
upon Deck, ordering everyone
to throw their Knifes, Guns and
other Weapons over board,
which they were obliged to do,
being seized with fear. They
now perceived they had no one
capable of stearing the Vessel,
so were necessitated to drive 5
or 6 Days, when they spyed
Land: But before they arrived
at it, the Conspirators
disagreeing among themselves,
the cause of which no one can
assign, two of them kill'd their
other two Accomplices.
They made on towards Land,
taking it to be Porto Rico,
proposing to kill all the rest,
and to sink the Vessel; and to
effect their purpose, they
anchored between two Rocks;
then hoisting out the Canoe,
they loaded her with
provisions, and put them on
shore; returning back they
fetched the Lady and the others
ashore, where they made Tents.
The two Pirates and Carpenter
row'd along shore, to see if they
could discover any Inhabitaints,
but perceived none. They
continued here 3 Days, and
finding it to be Cat Island, they
reconvey'd the People and
provisions on board, and
weighing Anchor put out again.
Two Days after they came to
Harbour-Island, where Capt.
Wm. Vaughan seeing the
Vessel, hailed them: One of the
Pirates, the Carpenter and
Peter, (who speaking French,
English, Spanish, and Dutch,
was kept alive to serve them for
Interpreter,) went on shore,
they enquired of the Captain, if
he had any person to conduct
their Vessel to one of the Cuba
Islands; who answered he had
no one who could undertake it
except himself, and that by
such an Attempt he must
infallibly ruin his whole
Summers Voyage. On this they
assured him they would make
good all Damages that should
accrue on such account, that
they would pay him 400 pieces
of eight, and make him a
present of the Vessel for such
Service as they now requir'd. At
length he consented, they paid
him down 200 pieces of Eight,
and he went on board June the
12th. The Day following being
at Sea and stearing S.S.E. one
of the Pirates being always
arm'd with a Dagger in his
Girdle, ordered him to shape
his course N.W. which gave to
Mr. Vaughan some suspicion of
an ill Design, Design, wherein
he was confirm'd when he
heard of the Carpenter that the
Captain and Mate of the Vessel
were kill'd; which made him
very apprehensive of his own
Danger, especially perceiving
the Frenchman, Cook, and the
Malteeze whispering together,
while the Carpenter was with
the 2 Canary Men on the other
side. He at last enquir'd of the
Frenchman, who being
confident the Capt. would be of
their side, let him, by order of
the Lady, into the Secret, and
discovered the whole Affair.
This being known they entered
into a consulation, and
concluded the safest Measures
were to deliver themselves
from these Villains, asore they
should have any Opportunity to
do them any mischief. In
consequence of which on the
15th Inst. in the Night the Cook
gave one of the Pirates 2 blow
with an Axe, which sever'd his
head from the body; while the
Captain with a Hammer
knock'd the other on the head.
The Carpenter hearing the
Noise, ran up, and kick'd up the
Captain's heels; which gave the
Pirate an opportunity to fall on
him, and wound him with his
Knife: The Frenchman came to
the Captain's assistance, and
with a Handspike knock'd the
Pirate into the Hold, who after
recovering himself, rose up,
and desired to have permission
to leap into the Sea, which he
obtain'd without any great
Difficulty.
These Villains having thus
gain'd the ample reward of their
Treachery, the Captain after a
calm and contrary Winds for 5
days, being in the Gulf of
Florida, with the Lady's
consent, ran into this Harbour;
where the persons have been
examined as aforesaid. There
are several strong Suspicious
and evidence against the
Carpenter, that he was of the
Pirates party; his share of
money being found in his chest
on search made: He is therefore
committed to Goal, to have a
further Trial",a supposed conspiracy of four Canary islands men on board a vessel from Havanna ,"June 29, 1734",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1734_07_27,"July 27, 1734",1734,"London, March 26. According to Accounts by a Holland Mail this Day, the Russians have taken Fort Weyselmond at Dantzick, cut off all their Communication by Sea, destroy'd their Corn-Mills, and were endeavouring to set the City on Fire; so that all was in great Confusion. The Magistrates began to see with other Eyes, were greatly divided, and an Insurrection of the Populace (who began to cry out for the Author of inviting King Stanislaus thither to be named) was expected.",,"July 27, 1734",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1734_10_12,"October 12, 1734",1734,"Private Letters from Gibraltar
intimate, that they had News
that the King of Morrocco with
30,000 Men had been entirely
defeated by the rebellious
Arabs, and himself killed in the
Fight, which had put a Stop to
the English Minister going
thence to Mequinez, to redeem
the British Slaves.","Mentions Arabian rebels as well as the British trying to ""redeem"" British slaves","October 12, 1734",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1735_01_18,"January 18, 1735",1735,"LONDON, Nov. 9.



His Majesty has been pleased to present his Serene Highness the Prince of Orange with the Sum of 10,000l. to defray the Expence his Highness was at in the late Campain upon the Rhine.

'Tis talked now with great Assurance, that his Majesty will give Licence for advancing to the Emperor, by way of Loan, 500,000l. on Security of Quick-silver Mines in Silesia. ---- And that the Affair relating to the Erecting a Civil Government at Gibraltar, is like to take Place; and that a Charter is preparing for that Purpose.

His Majesty has been pleas'd to order, that the Britania, together with twenty-five other Ships of the Line, which were order'd into Harbour, and were only to have their Gunpowder taken on Shore to prevent its receiving Damage, should no be disarm'd, and put into the Docks in order to be refitted.

Affairs on the Rhine are now in such Situation, as if a new Campaign was intended; the Marshal de Noailles being in Motion with 30,000 Men, and a Train of Artillery, for some Enterprize, but what is uncertain; on whose Approach the Germans have abandoned Oppenheim, and are preparing to desert Worms also. The French Parties pillage the Country, even to the very Gates of Manheim; but the Imperialists are likewise in Motion, to defeat their Enterprizes.

The Accounts we receive in relation to the Disposition of the Grand Turk to make Peace with the Persians, or War with the Emperor, vary just as the Weather cock changes. A South Wind constantly sends Letters from France, mentioning positively, that a Treaty is struck up with Thomas Kouli Kan; but a few Points more to the East, give us Advices from Brussels indirect Opposition to the other. Letters from Constantinople, dated the 23d of September, arriv'd Yesterday by the way of Venice, intimate, that however hard the Conditions are, upon which the Persians offer Peace to the Turks, yet the Porte appears resolv'd to accept them, in order to prevent a general Insurrection of the People, who are greatly discontented with the War in Persia; that as the Ignominy of giving back by Treaty all the Conquests obtain'd at so vast an Expence of Blood and Treasure, would incur upon the Grand Seignior the Contempt of his People, and equally expose him to the Hazard of being depos'd, 'twas judged, the Porte, in order to save their Credit, design'd to let the Persians regain them under Colour of Arms; for Thomas Kouli Kan, with a Body of 40,000 Men, was actually advanced towards Erivad, without any Interruption on the part of the Ottoman Army. These Letters add, that the Porte was so exhausted both of Men and Treasure, that it was not believ'd the Grand Seignior could be spirited up to a War against any Christian Powers; the People also talk'd loudly against it, and that the frequeot Audiences the Prime Vizior gives Count Bonneval, and a certain other Person, to whom the Count is only a Tool, were with no other View than to take the latter in for a few Purses, and to render it necessary for the opposite Party to throw in an equal Weight of Gold, in order to keep the Balance even. An Artifice the Prime Ministers at Constantinople often play off successfully.

This Week one of his Majesty's Messengers in Ordinary was dispatched from St. James's with Letters of Importance, to the Right Hon. Sir Robert Walpole in Norfolk: But whether they are such as require his immediate Return from thence, we can't say: however, 'tis the general Opinion, that the War will be continued, and great Pity it is, that the Endeavours and Time that are spent for an Accommodation should be fruitless, and Advantage taken thereof by the Allies to depress the Emperor, and augment their Sea and Land-Forces. ---- 'Tis, amongst other things, remarked, that the Manning of their Fleets was chiefly owing to the English, Scots and Irish Sailors entering into their Service. To prevent which, Measures will be concerted by the Parliament, who are to meet and fit for the Dispatch of Business on the 14th of January, to encourage the British Sailors, the Glory and Safeguard of this Kingdom, that they may be ready, on all Emergencies, for the Service of their Country.

Yesterday the Right Rev. Dr. Thomas Sherlock, Lord Bishop of Salisbury, was confirm'd at Bow-Church.

Tursday a very large Quantity of Oxen were killed at the Victualling Office, Tower-Hill, for the Use of his Majesty's Fleet; and this Day the like Number of Hogs were killed for the same Use.

The Letters from Oporto all agree, that the Wines made there, and in that Neighbourhood this last Vintage, prove much better than any in many Years before.

The Faulkland Man of War, with the Transports and Troops designed to quell the Rebellious Negroes in Jamaica, sailed from Gibraltar the 9th of October.

Private Letters from Hanover mention, that two young Women had been late apprehended there, for inveigling the young Fellows of several Places in that Electorate into Foreign Service: The Method was, for the Recruiting Officers of a certain neighbouring Prince to plant themselves in Ambush near the Out skirts of the Town, and then to detach these Girls into the Place, to look out such young Fellows, whose Heighth and Dexterity render'd them fit for their Purpose. These the cunning Gipsies found Means to get familiar with, and being of different Complexions, and both of exquisite Beauty, werr never long at a Loss for Admirers, to whom they were always propos'd running away together, and at the same Time making a great shew of Money, and having a Waggon at Command, their Scheme was easily executed, and the Men, as soon as the Vehicle was arrived in a Proper Place, were seized by the Officers, and carried off by Force.","mentions trying to prevent a general insurrection ""of the people"" who were discontended by war in Persia","January 18, 1735",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1735_05_10,"May 10, 1735",1735,"Paris, Feb. 19. Our last Letters
from Genoa of the 4th Inst.
mention that the Commissaries
of the Republick sent to
Corsica to bring the Rebels to
Obedience, had engaged one of
their Chiefs to revolt, and to
deliver up the famous Giasary,
but the Plot being discovered,
the Rebels asserted the Author,
and passed Sentence on him to
be impaled alive, and had also
seized the rest who were to
serve in the Execution of this
Design, and conducted them to
a fortress whereof the Rebels
are Masters; and the latter had
caused Publication to be made,
that they will treat with the
utmost Rigour all they shall
suspect of holding any
Correspondence or Intelligence
with the Commislaries of the
Republick.",mentions a plot being discovered of rebels in Genoa,"May 10, 1735",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1735_06_07,"June  7, 1735",1735,"Genoa, Feb. 24. The Van Guard
of the Spanish Cavalry,
compos'd of about 500 Horse,
arriv'd on Sunday last from St.
Pierre d'Arenna in admirable
good Condition, and appear to
be Troops of the last Perfection,
whether we consider the Men,
Horses, or Accoutrements.
They defiled Yesterday along
the Walls of this Town, in
continuing their March towards
La Speria, being at Alurzane,
their Rendezvous. The Affairs
of Corsica grow still worse and
worse; the Rebels are Masters
of Balague, which is the best
Province in the Island, and they
have burnt the publick Laws
and Statutes, intending for the
time to come, we suppose, to
govern among themselves
without them.",genoa/corsica news on rebels,"June  7, 1735",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1735_07_05,"July  5, 1735",1735,"From Genoa, they write, That
the Commissaries whom the
Senate sent to Corsica, to
persuade the Rebels to return to
their Duty, found Means to
engage one of their Chiefs to
deliver up their famous
Giaseri; but the Plot taking air
the Rebels seized the Author of
it, and condemned him to be
impal'd alive",genoa/corsica news on rebels,"July  5, 1735",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1736_01_17,"January 17, 1736",1736,"Letters from Lombardy of the
11th Inst mention, that a new
Conspiracy has been
discovered at Mantua, which
put General Stamps and Count
Wigenau, their Civil and
Military Governors in great
Confusion. The said
Conspiracy was composed of
some of the most substantial
People there, and that some
German Officers were
concerned in it; that the Heads
of them are, viz Lieutenant
Colonel Westkow a Swiss, in
his Imperial Majesty's Service,
and Messieurs Loli Gomazzi,
and the noble Thomasino, had
the Opportunity of escaping
into the Spanish Camp. They
reported in the Camp that the
Peasants who were at Mantua
so much discontented at the
Conduct, Restriction, and
Ordinances of Count Witgenau,
that certainly as soon as a
Breach will be made before
Mantua, there will be a Mutiny
in that Town: Count Witgenau
at the Discovery of the
Conspiracy, arrested 30 of the
richest Gentlemen in that City,
but to prevent a Mutiny, he was
obliged to release them. The
Sickness rages so much among
the Garrison, that there is
hardly a Day but they bury 10
or 12 of the Soldiers, and such
Demands and Complaints are
daily made by the Peasants to
the Governor on Account of the
Want of Provision, that he will
be obliged to give them part
thereof belonging to the
Garrison. It is said that the
Duke of Montemar will
command the Siege in Person,
and that a Memorial of some of
the Magistrates directed to the
said General, was found at Mr.
Pinelli's the City's Notary, the
9th Inst. N.S.",,"January 17, 1736",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1736_08_28,"August 28, 1736",1736,"Letters from Vienna say, that among the late Prince Eugene's Moveables was a Crucifix most richly set with Diamonds, which the Emperor made him a Present of in the Beginning of his last Campaign in Hungary; also six Swords, the Hilts of which are massy Gold inrich'd with Diamonds; the first was given him by the Emperor, the second by Queen Anne, the third by the late King of Prussia, the fourth by the late King George before his Accession to the Throne of Great-Britain, the fifth by the Republick of Holland, and the sixth by the Republick of Venice. There was likewise a Hatband, which with the Buckle, was all covered with Diamonds; and a great Quantity of Gold-headed Canes with the same precious Decoration closed this rich Inventory. The only gloomy News from that Quarter is, that Prince Charles of Lorrain is fallen ill of the Small-Pox.

The Russians have already made themselves Masters of Asoph: The Place being ill fortified, worse furnished with Ammunition or Provision, and very bare of Troops, the Governor thought proper to surrender. Count Munick has entered the Crimea with a numerous Army, in order to over-run that Country.

The Emperor has resolved to have a Camp at Belgrade, to be ready to assist the Czarina against the Turk. News being come to Vienna, that the Inhabitants of Sclavonia are in Arms, to the Number of 60,000 Men; his Imperial Majesty has ordered his Troops thither from Italy, in order to suppress the Insurrection.",mentions suppressing an insurrection,"August 28, 1736",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1736_09_06,"September  6, 1736",1736,"August 12. By Yesterday's
French Mail we have Advice,
That his Most Christian
Majesty, at the Request of the
State of Genoa, has issued out
an Ordinance, strictly
forbidding all Captains,
Masters and Owners of Ships,
upon any Pretence whatsoever,
to aid or assist the Rebels in
Corsica, by taking on board
their Vessels any Cannon,
Arms, Ammunition, Provisions,
Money, or any thing whatever,
against the Interest of the said
Republick. It also orders all
French Ships, that in a way of
Trade shall touch at the Island
of Corsica to put into no Port
but those at Bastia, Ajaccio and
Boniface, and forbids all
Corsican Ships to enter into
any Port of France, without a
Passport from the State of
Genoa, or Commissioners
appointed by them.",rebels in Genoa,"September  6, 1736",nonslave
