Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name, resistance label,Date,latitude,longitude
1733,76713,Judith (a) Ruby,London,Cabinda,Charleston,,"Pearce, Jeremiah",,1733-01-01,-5.55,12.2
1733,76714,Speaker,London,Cabinda,Charleston,,"Flower, Henry",,1733-01-01,-5.55,12.2
1733,76715,Margaret,London,Gambia,Charleston,,"Whistler, Richard",,1733-01-01,13.45306,-16.5775
1734,26013,Dorset,,"Gold Coast, port unspecified",Charleston,,"Oliver, William",,1734-01-01,5.19077,-1.0992
1734,16752,Amoretta,Bristol,Calabar,Charleston,209,"Jones, David",,1734-01-01,4.95,8.31667
1734,16771,Post Boy,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,344,"McNutt, John",,1734-01-01,-8.83833,13.23444
1734,16781,Bath,Bristol,Gambia,Charleston,122,"Smith, Robert",,1734-01-01,13.45306,-16.5775
1734,16790,Greyhound,Bristol,"Africa, port unspecified",Charleston,202,"Hallden, Edward",,1734-01-01,#N/A,#N/A
1734,16808,Scipio,Bristol,Gambia,Charleston,197,"Gordon, William<br/> Cartnell, Robert",Slave insurrection,1734-01-01,13.45306,-16.5775
1734,76700,Isabella,London,"West Central Africa and St. Helena, port unspecified",Charleston,102,"Poey, Peter",,1734-01-01,-8.83833,13.23444
1734,76701,Speaker,London,"West Central Africa and St. Helena, port unspecified",Charleston,145,"Flower, Henry",,1734-01-01,-8.83833,13.23444
1735,25992,London Merchant,London,"Africa, port unspecified",Charleston,,"Thomas, John",,1735-01-01,#N/A,#N/A
1735,16787,Diana,Bristol,"Gold Coast, port unspecified",Charleston,62,"Malcolme, John",,1735-01-01,5.19077,-1.0992
1735,16791,Happy Couple,Bristol,"Africa, port unspecified",Charleston,141,"Little, Edward<br/> Hill, Abraham",,1735-01-01,#N/A,#N/A
1735,16802,Morning Star,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,327,"Hamley, William",,1735-01-01,-8.83833,13.23444
1735,16803,Pearle Gally,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,,"Vaughan, Jason",,1735-01-01,-8.83833,13.23444
1735,16806,Rainbow,Bristol,"Africa, port unspecified",Charleston,159,"Morgan, Richard<br/> Matthews, John",,1735-01-01,#N/A,#N/A
1735,16814,Amoretta,Bristol,"Africa, port unspecified",Charleston,239,"Jones, David",,1735-01-01,#N/A,#N/A
1735,16817,Berkley,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,412,"Stockdale, Peregrine",,1735-01-01,-8.83833,13.23444
1735,92406,Pineapple,Liverpool,"Africa, port unspecified",Charleston,338,"Hallow, David",,1735-01-01,#N/A,#N/A
1735,76845,Dove,London,"West Central Africa and St. Helena, port unspecified",Charleston,248,"Fothergill, Richard",,1735-01-01,-8.83833,13.23444
1735,76851,London Frigate,London,"West Central Africa and St. Helena, port unspecified",Charleston,380,"Sutherland, John",,1735-01-01,-8.83833,13.23444
1735,76855,Faulcon,London,"West Central Africa and St. Helena, port unspecified",Charleston,364,"Saunders, Samuel",,1735-01-01,-8.83833,13.23444
1735,76950,Molly,London,"West Central Africa and St. Helena, port unspecified",Charleston,400,"Carruthers, John",,1735-01-01,-8.83833,13.23444
1736,25993,London Merchant,London,"Africa, port unspecified",Charleston,,"Thomas, John",,1736-01-01,#N/A,#N/A
1736,26114,Catherine,,"Africa, port unspecified",Charleston,,Carmichael,,1736-01-01,#N/A,#N/A
1736,16815,Amoretta,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Charleston,224,"Jones, David",,1736-01-01,4.43333,7.16667
1736,16832,Morning Star,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,61,"Hamley, William",,1736-01-01,-8.83833,13.23444
1736,16837,Phoenix,Bristol,Loango,Charleston,289,"Arthur, David",,1736-01-01,-4.65194,11.8125
1736,16840,Scipio,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,300,"Smith, Robert",,1736-01-01,-8.83833,13.23444
1736,16842,Shepherd,Bristol,Loango,Charleston,362,"Power, Maurice",,1736-01-01,-4.65194,11.8125
1736,76571,Susanna,London,"West Central Africa and St. Helena, port unspecified",Beaufort,230,"Mallortie, David<br/> Wych, Benjamin",,1736-01-01,-8.83833,13.23444
1736,76580,Faulcon,London,Cabinda,Charleston,320,"Saunders, Samuel",,1736-01-01,-5.55,12.2
1736,76859,Girlington,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Charleston,303,"Watts, Henry",,1736-01-01,4.43333,7.16667
1736,76865,Bonetta,London,"West Central Africa and St. Helena, port unspecified",Charleston,388,"Comyn, Phil<br/> Masters",,1736-01-01,-8.83833,13.23444
1736,76866,London Frigate,London,"West Central Africa and St. Helena, port unspecified",Charleston,330,"Sutherland, John",,1736-01-01,-8.83833,13.23444
1736,76869,Princess Carolina,London,Gambia,Charleston,180,"Coe, John",,1736-01-01,13.45306,-16.5775
1737,26156,Princess Carolina,London,"Africa, port unspecified",Charleston,,"Coe, John",,1737-01-01,#N/A,#N/A
1737,26157,Molly,London,"Africa, port unspecified",Charleston,,"Carruthers, John",,1737-01-01,#N/A,#N/A
1737,16845,Amoretta,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,236,"Jones, David",,1737-01-01,-8.83833,13.23444
1737,16865,Loango,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,379,"Dolman, Thomas",,1737-01-01,-8.83833,13.23444
1737,16870,Pearle,Bristol,Cabinda,Charleston,255,"Hardwicke, Eustace",,1737-01-01,-5.55,12.2
1737,92358,Pineapple,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,250,"Hallow, David",,1737-01-01,-8.83833,13.23444
1737,76352,Betty Gally,London,Cabinda,Charleston,260,"Winster, John",,1737-01-01,-5.55,12.2
1737,76704,Susanna,London,Loango,Charleston,181,"Yoakley, John<br/> Cross, Benjamin",,1737-01-01,-4.65194,11.8125
1737,76705,Mary,London,"West Central Africa and St. Helena, port unspecified",Charleston,280,"Pollixsen, Robert<br/> Lamont, Arthur",,1737-01-01,-8.83833,13.23444
1738,26014,London Merchant,London,"West Central Africa and St. Helena, port unspecified",Charleston,,"Thomas, John",,1738-01-01,-8.83833,13.23444
1738,16879,Amoretta,Bristol,"Africa, port unspecified",Charleston,230,"Crode, John",,1738-01-01,#N/A,#N/A
1738,16919,Seaflower,Bristol,"Africa, port unspecified",Charleston,,"Elsworthy, John",,1738-01-01,#N/A,#N/A
1738,16920,Shepherd,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,360,"Power, Maurice",,1738-01-01,-8.83833,13.23444
1738,16973,Squirrel,Bristol,"Africa, port unspecified",Charleston,228,"Jones, David<br/> Dyke, John",,1738-01-01,#N/A,#N/A
1738,76707,London Frigate,London,Cabinda,Charleston,309,"Pickett, John (a) Pickall<br/> Thomas, John",,1738-01-01,-5.55,12.2
1738,76708,Betty,London,"West Central Africa and St. Helena, port unspecified",Charleston,230,"Duncomb, Alexander",,1738-01-01,-8.83833,13.23444
1738,76709,Mary,London,Gambia,Charleston,105,"Coe, John<br/> Roberts, Nathaniel",,1738-01-01,13.45306,-16.5775
1738,76710,Princess Carolina,London,Gambia,Charleston,233,"Johnson, William",,1738-01-01,13.45306,-16.5775
1738,76711,Mermaid,London,"West Central Africa and St. Helena, port unspecified",Charleston,176,"Wilson, William",,1738-01-01,-8.83833,13.23444
1738,76952,Speaker (a) Speke Gally,London,"West Central Africa and St. Helena, port unspecified",Charleston,306,"Flower, Henry",,1738-01-01,-8.83833,13.23444
1739,26268,Princess Carolina,London,"Africa, port unspecified",Charleston,,"Johnson, William",,1739-01-01,#N/A,#N/A
1739,26276,John and Henry,"Great Britain, place unspecified","Africa, port unspecified",Charleston,,"Dorby, Ebinzor",,1739-01-01,#N/A,#N/A
1739,16925,Amoretta,Bristol,Calabar,Charleston,207,"Crode, John",,1739-01-01,4.95,8.31667
1739,16950,Levant,Bristol,Bonny,Charleston,382,"Packer, Thomas",,1739-01-01,4.43333,7.16667
1739,16958,Nancy,Bristol,"Africa, port unspecified",Charleston,205,"Malcolme, John",,1739-01-01,#N/A,#N/A
1739,16966,Postillion,Bristol,Calabar,Charleston,227,"Powell, Howel<br/> Lyddon",,1739-01-01,4.95,8.31667
1739,16972,Shepherd,Bristol,Loango,Charleston,339,"Power, Maurice",,1739-01-01,-4.65194,11.8125
1739,76712,Hiscox,London,"West Central Africa and St. Helena, port unspecified",Charleston,435,"Saunders, Samuel",,1739-01-01,-8.83833,13.23444
1739,76937,Mary,London,Gambia,Charleston,85,"Roberts, Nathaniel",,1739-01-01,13.45306,-16.5775
1740,16963,Phoenix,Bristol,Malembo,Charleston,,"Arthur, David",,1740-01-01,-5.33333,12.18333
1740,16978,Amoretta,Bristol,Calabar,Charleston,,"Crode, John",,1740-01-01,4.95,8.31667
1740,16997,Medway,Bristol,"Africa, port unspecified",Charleston,148,"Hunt, Joseph",,1740-01-01,#N/A,#N/A
1740,17005,Squirrell,Bristol,"Africa, port unspecified",Charleston,,"Brown, John",,1740-01-01,#N/A,#N/A
1740,76939,Griffin,London,"West Central Africa and St. Helena, port unspecified",Charleston,234,"Sutherland, John",,1740-01-01,-8.83833,13.23444
1744,17090,Africa,Bristol,Bonny,Charleston,,"Hunt, Joseph",,1744-01-01,4.43333,7.16667
1744,17108,Jason Gally,Bristol,Cabinda,Charleston,,"Bartlett, John",,1744-01-01,-5.55,12.2
1744,17114,Nancy,Bristol,"Africa, port unspecified",Charleston,,"Baber, John",,1744-01-01,#N/A,#N/A
1744,17134,Tryal,London,Calabar,Charleston,,"Jefferis, William<br/> Lewis",,1744-01-01,4.95,8.31667
1749,90118,Lamb,Liverpool,Gambia,Charleston,103,"Anyon, Timothy",Slave insurrection,1749-01-01,13.45306,-16.5775
1749,90120,Pardoe,Liverpool,Gambia,Charleston,,"Gother, Anthony",,1749-01-01,13.45306,-16.5775
1749,90226,Brownlow,Liverpool,"Gold Coast, port unspecified",Charleston,,"Jackson, Richard",Slave insurrection,1749-01-01,5.19077,-1.0992
1750,24932,Hector,,"Windward Coast, place unspecified",Charleston,,"Bostock, Peter",,1750-01-01,#N/A,#N/A
1750,17245,Matilda,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Charleston,,"Townsend, William",,1750-01-01,4.43333,7.16667
1750,17256,Amoretta,Bristol,"Africa, port unspecified",Charleston,,"Timberman, Samuel",,1750-01-01,#N/A,#N/A
1750,90264,Telemachus,Liverpool,Bonny,Charleston,,"Bannister, Robert<br/> Work, Joseph",,1750-01-01,4.43333,7.16667
1751,26015,Nancy,,"West Central Africa and St. Helena, port unspecified",Charleston,59,"Dickenson, Joseph",,1751-01-01,-8.83833,13.23444
1751,90296,Orrell,Liverpool,Gambia,Charleston,,"Lacer, Samuel",,1751-01-01,13.45306,-16.5775
1751,90351,Barbados Merchant,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,306,"Stewart, James<br/> Wilson, John",,1751-01-01,-8.83833,13.23444
1752,24022,Molly,,"Gold Coast, port unspecified",Charleston,,"Watts, Richard",,1752-01-01,5.19077,-1.0992
1752,36156,Two Friends,Newport,Anomabu,Charleston,60,"Hammett, Abraham",Slave insurrection,1752-01-01,5.1667,-1.1167
1752,17283,Delight,Bristol,Calabar,Charleston,160,"Colquhoun, William",,1752-01-01,4.95,8.31667
1752,17284,Earl of Radnor,Bristol,Bonny,Charleston,300,"Rait, Robert",,1752-01-01,4.43333,7.16667
1752,17285,Emperor,Bristol,Calabar,Charleston,250,"Gwynn, Charles",,1752-01-01,4.95,8.31667
1752,17295,Matilda,Bristol,New Calabar,Charleston,160,"Timberman, Samuel",,1752-01-01,4.5742,6.9758
1752,17312,Eugene,Bristol,Calabar,Charleston,250,"Merrick, George",,1752-01-01,4.95,8.31667
1752,77597,Prince George,London,Windward + Ivory + Gold + Benin,Charleston,300,"Bostock, Peter",,1752-01-01,0,0
1753,25644,Thomas,"Barbados, place unspecified",Gambia,"South Carolina, place unspecified",135,"Hutchinson, James",,1753-01-01,13.45306,-16.5775
1753,24020,Elizabeth,London,Gambia,Charleston,160,"Hunt, James",,1753-01-01,13.45306,-16.5775
1753,24025,Africa,Lancaster,"Gold Coast, port unspecified","South Carolina, place unspecified",170,"Hinde, John",,1753-01-01,5.19077,-1.0992
1753,17311,Emperor,Bristol,"West Central Africa and St. Helena, port unspecified","South Carolina, place unspecified",350,"Gwynn, Charles",,1753-01-01,-8.83833,13.23444
1753,77622,Prince George,London,Gambia,Charleston,270,"Bostock, Peter",,1753-01-01,13.45306,-16.5775
1753,90298,Orrell,,Gambia,Charleston,,"Bennett, James",,1753-01-01,13.45306,-16.5775
1754,26016,Noble,London,Gambia,Charleston,,"Whitson, William",,1754-01-01,13.45306,-16.5775
1754,24021,Elizabeth,Poole,Gambia,Charleston,,"Hunt, James",,1754-01-01,13.45306,-16.5775
1754,24026,Africa,Lancaster,Sierra Leone estuary,"South Carolina, place unspecified",,"Mason, William",,1754-01-01,6.49613,-13.17066
1754,17339,Fortune,Bristol,"Gold Coast, port unspecified",Charleston,180,"Boucher, Edward",,1754-01-01,5.19077,-1.0992
1754,17345,Matilda,Bristol,New Calabar,Charleston,150,"Bird, Japhet<br/> Davis, Henry",Slave insurrection,1754-01-01,4.5742,6.9758
1754,17352,Sylvia,Bristol,"Africa, port unspecified",Charleston,200,"McMurdo, James",,1754-01-01,#N/A,#N/A
1754,17374,Nugent,Bristol,Gambia,Charleston,200,"Hutcheson, James",,1754-01-01,13.45306,-16.5775
1754,76344,Young Prince George,Charleston,Gambia,Charleston,50,"Rosse, John",Vessel's boats attacked from shore,1754-01-01,13.45306,-16.5775
1754,77633,Minerva,London,Sherbro,Charleston,160,"Colquhoun, William",,1754-01-01,7.57325,-12.70415
1754,77635,Success,London,"Gold Coast, port unspecified",Charleston,287,"Engledue, John",,1754-01-01,5.19077,-1.0992
1754,77637,Saint Paul,London,Gambia,Charleston,,"James, Tubley",,1754-01-01,13.45306,-16.5775
1754,90514,Orrel,Liverpool,Gambia,"South Carolina, place unspecified",170,"Bennett, James",,1754-01-01,13.45306,-16.5775
1755,25026,William,New York,Gambia,Charleston,40,"Griffith, David",,1755-01-01,13.45306,-16.5775
1755,25375,Polly,New York,Cameroons,Charleston,,"Miller, Paul",,1755-01-01,3.91309,9.58062
1755,25378,Prince George,Charleston,Gambia,Charleston,60,"Rosse, John",,1755-01-01,13.45306,-16.5775
1755,24014,Elizabeth,Poole,Gambia,Charleston,112,"Hunt, James",,1755-01-01,13.45306,-16.5775
1755,24024,Gambia,,Gambia,Charleston,,"Dodson, Robert",,1755-01-01,13.45306,-16.5775
1755,36175,Hare,"Rhode Island, port unspecified",Sierra Leone estuary,Charleston,61,"Godfrey, Caleb",,1755-01-01,6.49613,-13.17066
1755,90646,Enterprize,,"Africa, port unspecified",Charleston,33,"Arnold, James",,1755-01-01,#N/A,#N/A
1755,17371,Matilda,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Charleston,170,"Wiltshire, Edward",,1755-01-01,4.43333,7.16667
1755,17375,Pearl,Bristol,Malembo,Charleston,251,"Jefferis, William",,1755-01-01,-5.33333,12.18333
1755,77248,Saint Paul,London,Gambia,Charleston,,"James, Tubley",,1755-01-01,13.45306,-16.5775
1755,77655,Prince George,London,"Windward Coast, place unspecified",Charleston,227,"Bostock, Peter",,1755-01-01,#N/A,#N/A
1755,90515,Orrel,Liverpool,Gambia,Charleston,133,"Bennett, James",,1755-01-01,13.45306,-16.5775
1756,25029,Kitty (a) Katey,New York,Gambia,Charleston,,"Nichols, John",,1756-01-01,13.45306,-16.5775
1756,24023,Molly,Poole,Gambia,Charleston,,"Watts, Richard",,1756-01-01,13.45306,-16.5775
1756,24028,Concord,,Banana Islands,"South Carolina, place unspecified",49,"Simondson, Samuel",,1756-01-01,8.10473,-13.22867
1756,36187,Hare,"Rhode Island, port unspecified",Sierra Leone estuary,Charleston,71,"Godfrey, Caleb",,1756-01-01,6.49613,-13.17066
1756,17384,Africa,Bristol,Bonny,Charleston,300,"Watkins, William<br/> Miller, Alexander",,1756-01-01,4.43333,7.16667
1756,17391,Hope,Bristol,New Calabar,Charleston,150,"Lugen, William",,1756-01-01,4.5742,6.9758
1756,17417,Sylvia,Bristol,Gambia,Charleston,,"Boucher, Edward",,1756-01-01,13.45306,-16.5775
1756,17418,Success,Bristol,Gambia,Charleston,154,"Todd, Robert",,1756-01-01,13.45306,-16.5775
1756,75237,Carlisle,London,Sierra Leone estuary,Charleston,150,"Osborne, Thomas",,1756-01-01,6.49613,-13.17066
1756,77252,Saint Andrew,London,Gambia,"South Carolina, place unspecified",250,"Hood, Alexander",,1756-01-01,13.45306,-16.5775
1756,78803,Prince George,Charleston,"Africa, port unspecified",Charleston,,"Bostock, Peter",,1756-01-01,#N/A,#N/A
1756,90394,Cavendish,Liverpool,Gambia,Charleston,120,"Buchan, John<br/> Walker, John",,1756-01-01,13.45306,-16.5775
1756,90472,Benn,Liverpool,Calabar,Charleston,350,"Naylor, Thomas<br/> Sherman, James",,1756-01-01,4.95,8.31667
1757,27029,Molly,Poole,Gambia,Charleston,,Watts,,1757-01-01,13.45306,-16.5775
1757,24006,Anson,Lancaster,Gambia,Charleston,70,Holden,,1757-01-01,13.45306,-16.5775
1757,90620,Phoebe,Liverpool,"Africa, port unspecified",Charleston,,"Giball, John<br/> Bennet, James",,1757-01-01,#N/A,#N/A
1757,90643,Lintot,Liverpool,Calabar,Charleston,,"Lace, Ambrose",,1757-01-01,4.95,8.31667
1757,17409,King David,Bristol,Calabar,Charleston,,"Bishop, George",,1757-01-01,4.95,8.31667
1757,77676,Black Prince,London,Gambia,Charleston,,"Bostock, Peter<br/> Steine, Francis",Slave insurrection,1757-01-01,13.45306,-16.5775
1758,27054,Hazlemore,,"Africa, port unspecified",Charleston,,,,1758-01-01,#N/A,#N/A
1758,90538,Hardman,Liverpool,Gambia,Charleston,152,"Jordan, Thomas",,1758-01-01,13.45306,-16.5775
1758,90556,Mears,Liverpool,"Gold Coast, port unspecified",Charleston,243,"Berrill, Chris",Slave insurrection,1758-01-01,5.19077,-1.0992
1758,90621,Phoebe,Liverpool,Gambia,Charleston,161,"Bennett, James",,1758-01-01,13.45306,-16.5775
1758,90667,Middleton,Liverpool,"Windward Coast, place unspecified",Charleston,186,"Walker, John",,1758-01-01,#N/A,#N/A
1758,90684,Glory,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,764,"Clemens, James",,1758-01-01,-8.83833,13.23444
1758,90694,Nancy,Liverpool,"Gold Coast, port unspecified",Charleston,252,"Darbyshire, Ralph",,1758-01-01,5.19077,-1.0992
1758,90696,Polly,Liverpool,Gambia,Charleston,118,"Corbett, John<br/> Lloyd, Edward",,1758-01-01,13.45306,-16.5775
1758,90725,Molly,Liverpool,Anomabu,Charleston,59,"Bassnett, Thomas",,1758-01-01,5.1667,-1.1167
1758,17420,Africa,Bristol,Bonny,Charleston,283,"Robe, Alexander",,1758-01-01,4.43333,7.16667
1758,17422,Cape Coast,Bristol,Anomabu,Charleston,262,"Brown, William",,1758-01-01,5.1667,-1.1167
1758,17425,Polly,Bristol,"West Central Africa and St. Helena, port unspecified",Charleston,377,"Hamilton, David",,1758-01-01,-8.83833,13.23444
1758,17427,Sylvia,Bristol,Gambia,Charleston,160,"Boucher, Edward",,1758-01-01,13.45306,-16.5775
1758,17434,Cato,Bristol,Sierra Leone estuary,Charleston,288,"Millerson, Richard<br/> Tallon, John",,1758-01-01,6.49613,-13.17066
1758,77674,Unity,London,Sofala,Charleston,,"Sargent, Step",,1758-01-01,-20.155,34.73167
1758,77692,Betsey,London,Bance/Bunce Island,Charleston,230,"Cogill, Wm",,1758-01-01,#N/A,#N/A
1758,90466,Rainbow,Liverpool,Benin,Charleston,201,"Harrison, Joseph",Slave insurrection,1758-01-01,6.3176,5.6145
1759,26017,Betsey,,Sierra Leone estuary,Charleston,220,"Deas, Robert",,1759-01-01,6.49613,-13.17066
1759,24010,Molly,Poole,Gambia,Charleston,200,"Watts, Richard",,1759-01-01,13.45306,-16.5775
1759,24011,John,Poole,Gambia,Charleston,56,"Pearce, John",,1759-01-01,13.45306,-16.5775
1759,24012,Marlborough,Lancaster,Gambia,Charleston,190,"Dodson, Robt<br/> Brownrigg, Wm",,1759-01-01,13.45306,-16.5775
1759,24029,Thetis,Lancaster,"Windward Coast, place unspecified",Charleston,212,"Preston, John",,1759-01-01,#N/A,#N/A
1759,36229,Elizabeth,"Rhode Island, port unspecified","Windward Coast, place unspecified",Charleston,46,"Elliott, Robert",,1759-01-01,#N/A,#N/A
1759,90734,Marlborough,Liverpool,"Bight of Benin, place unspecified",Charleston,293,"Lace, Ambrose",,1759-01-01,#N/A,#N/A
1759,17429,Africa,Bristol,Bonny,Charleston,251,"Robe, Alexander",,1759-01-01,4.43333,7.16667
1759,90467,Rainbow,Liverpool,Gambia,Charleston,100,"Harrison, Joseph",,1759-01-01,13.45306,-16.5775
1760,26018,John,Charleston,Gambia,Charleston,70,"Cherry, George",,1760-01-01,13.45306,-16.5775
1760,26019,Molly,Poole,Gambia,Charleston,160,"Miller, Joseph",,1760-01-01,13.45306,-16.5775
1760,26020,Betty,Whitehaven,Sierra Leone estuary,Charleston,180,"Kennedy, John",,1760-01-01,6.49613,-13.17066
1760,24030,Molly,Lancaster,Sierra Leone estuary,Charleston,228,"Barker<br/> Denison, William",,1760-01-01,6.49613,-13.17066
1760,24031,Marlborough,Lancaster,Gambia,Charleston,196,"Dodson, Robert<br/> Brownrigg, Wm",,1760-01-01,13.45306,-16.5775
1760,90648,Charming Esther,Liverpool,"Gold Coast, port unspecified",Charleston,204,"Hamilton, John",,1760-01-01,5.19077,-1.0992
1760,90668,Middleton,Liverpool,Anomabu,Charleston,155,"Walker, John",,1760-01-01,5.1667,-1.1167
1760,90812,Pearl,Liverpool,Loango,Charleston,362,"Pollard, Thomas",,1760-01-01,-4.65194,11.8125
1760,90824,Nestor,Liverpool,Anomabu,Charleston,208,"Maddock, John",,1760-01-01,5.1667,-1.1167
1760,90835,Carolina,Liverpool,"Windward Coast, place unspecified",Charleston,190,"Kennedy, John",,1760-01-01,#N/A,#N/A
1760,17460,Kingston,Bristol,"Africa, port unspecified",Charleston,361,"Brown, William",,1760-01-01,#N/A,#N/A
1760,17467,Prince Tom,Bristol,Cabinda,Charleston,428,"Chilcott, John",,1760-01-01,-5.55,12.2
1760,17468,Racehorse,Bristol,Bonny,Charleston,157,"Barker, John",,1760-01-01,4.43333,7.16667
1760,17496,Roebuck,Bristol,Bonny,Charleston,420,"Maxwell, James<br/> Gullan, Thomas",,1760-01-01,4.43333,7.16667
1760,77722,Kepple,London,Saint-Louis,Charleston,52,"Johnson, Wm<br/> Kerr, Walter",,1760-01-01,16.12,-16.5
1760,77723,Bance Island,London,Bance/Bunce Island,Charleston,337,"Stephens, John",,1760-01-01,#N/A,#N/A
1760,77834,Ann Gally,London,Saint-Louis,Charleston,211,"Webb, Joseph",,1760-01-01,16.12,-16.5
1761,26021,Amherst,,"Africa, port unspecified",Charleston,,"Lyell, Lorraine",,1761-01-01,#N/A,#N/A
1761,26022,Bance Island,Charleston,Sierra Leone estuary,Charleston,300,"Stephens, John",,1761-01-01,6.49613,-13.17066
1761,26023,Fanny,,Sierra Leone estuary,Charleston,,Taylor,,1761-01-01,6.49613,-13.17066
1761,26024,Charming Sally,Cowes,"West Central Africa and St. Helena, port unspecified",Charleston,,"Dwight, Joseph",,1761-01-01,-8.83833,13.23444
1761,24529,Vernon,Poole,Gambia,Charleston,,Watts,,1761-01-01,13.45306,-16.5775
1761,24032,Marquis of Granby,Lancaster,Gambia,Charleston,200,"Dodson, Robert",,1761-01-01,13.45306,-16.5775
1761,90890,James,Liverpool,Iles de Los,Charleston,150,"Howell, Henry",,1761-01-01,9.48039,-13.79534
1761,17505,Hannah,Bristol,Gambia,Charleston,200,"Darville, Richard",,1761-01-01,13.45306,-16.5775
1761,75334,Dispatch,London,Bance/Bunce Island,Charleston,,"Duncan, John",,1761-01-01,#N/A,#N/A
1761,75369,Duke of York,London,Gambia,Charleston,250,"Bostock, Peter",,1761-01-01,13.45306,-16.5775
1762,25063,Neptune,Boston,Cape Coast Castle,Charleston,220,"Binney, Barnabas",,1762-01-01,5.18251,-1.11662
1762,90736,Marlborough,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,263,"Benson, William<br/> Jones, Matthew",,1762-01-01,-8.83833,13.23444
1762,90961,Hope,Liverpool,"Windward Coast, place unspecified",Charleston,150,"Gillman, John",,1762-01-01,#N/A,#N/A
1763,24561,Charlotte,,"Africa, port unspecified",Charleston,,"Blair, James",,1763-01-01,#N/A,#N/A
1763,24563,Fly,,Saint-Louis,Charleston,,Cay,,1763-01-01,16.12,-16.5
1763,24034,Marquis of Granby,Lancaster,Gambia,Charleston,200,"Kitching, John",,1763-01-01,13.45306,-16.5775
1763,36249,Greyhound,"Rhode Island, port unspecified",Cape Coast Castle,Charleston,134,"Pinnegar, Wm",,1763-01-01,5.18251,-1.11662
1763,36262,,"Rhode Island, port unspecified","Africa, port unspecified",Charleston,,Carpenter,,1763-01-01,#N/A,#N/A
1763,36267,,"Rhode Island, port unspecified","Africa, port unspecified",Charleston,,Durfee,,1763-01-01,#N/A,#N/A
