document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,doc_id,file_name,date
"Letters from Bastia mention a Detachment of  Imperialists having been surpized by the Rebels in Ambuscade near Calezzana, and all, to the Number of , cut in Pieces.",1,['having been surpized'],1,1,1.0,1,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_10_03_row_5.txt,1732_10_03
"From Constantinople, That every Thing there seem'd ripe for a new Insurrection ;",1,[],0,0,0.0,0,6,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_01_13_row_6.txt,1733_01_13
that the People were put into continual Frights by the seditious Carriage and Insolence of the Janizaries;,1,['were put'],1,1,1.0,1,6,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_01_13_row_6.txt,1733_01_13
"and the Grand Seignior was assembling an Army of , Men at the City Gates, for his own Security, in which Body there was not to be one Janizary.",1,[],0,0,0.0,0,6,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_01_13_row_6.txt,1733_01_13
Dec. .,1,[],0,0,0.0,0,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_03_24_row_7.txt,1733_03_24
"Our Last Advices from Spain say, that the whole Empire of Morocco is in a Combustion, upon the Blacks of Mequinez having rebelled, and set the Brother of Muley Abdallah on the Throne, in Aversion to the frequent Executions which the King caused to be made among them;",1,['be made'],1,1,1.0,1,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_03_24_row_7.txt,1733_03_24
so that his Majesty will be obliged to withdraw from before Ceuta to quell them,1,['will be obliged'],1,1,1.0,1,7,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_03_24_row_7.txt,1733_03_24
The SUBJECT on Paper Currency Concluded.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"THAT the Prices of our Produce is influenced in the following Manner, I think is very plain.",1,['is influenced'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"When our Crop is so large, as to make a Plenty at the Markets of Consumption, and furnish them with more than they want (supposing the Factors here as Orders at large, and the Freights at common price) then the Prices will necessarily run low on Export;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"& farther, a Scarcity of Ships and Freight high, also beats down the Price still more.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Again, when our Crop falls short, so as not fully to supply the Markets aboard, we then judging the Price will advance at places of Consumption, are thereby encouraged to give the more here (And so much the more as Freights are under the common Rate).",1,['are thereby encouraged'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"But what I've observed constantly to affect most the price of our Produce, is chartered Ships, or Orders to several Factors at the same time, for a certain Commodity, without limiting a price, occasions bidding on each other, and frequently runs it above its true Value.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"If any one think this is not a rational Account, but that the Paper Currency does the Mischief, I desire they would give some better Reasons;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
and shew how it has raised Pitch from  to s.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"in four Weeks, and falling it again to s.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"in ten Days: How it was, that Rice the beginning of Crop, at s.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
fell to s.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
advanced again to s.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
in six Weeks.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"When Silver did not alter Is. per Ounce, or Exchange vary  per Cent.",2,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Or why did not the additional Currency of ,I.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Merchants Notes, afford some Proof of this Objection: That Year it was remarkably the Contrary, for Sterling Bills were never plentier;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"(& Produce was low) but am apt to think, had the Case been otherwise, all that were against that private (beneficial) Bank, would have asserted it as the Cause.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"But says another, let the Planters have Money on their Lands to pay their Debts, they'll keep Rice, &c.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"as home, 'till the Merchant is forced to give the Price they please to demand.",1,['is forced'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
Will they so?,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"(well, when the Sky falls they'll catch Larks) Where is the Man of two Grains of Sense, being in Debt, that will keep his Goods at home, at the Expence of  per Cent.",2,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"And at so much uncertainty, that he can't be sure, but in the End, he may loose  per Cent.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
On the Price of his Goods.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Again, it must be a general Contrivance, and all agree in it, or it won't the Objector allow, it is as easy, and full as likely, that the Merchants in Charlestown, would also combine to Counterplot them, by engaging not to give them more than certain price for Produce;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"and it may be, carry it father, that they would not sell Goods out of their Stores, but a t a higher Advance: Persons living compact, as in Charlestown, may sooner unite to the Prejudice of the Planter, than that they could all join from North to South, through the whole Country, in such a Contrivance.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Further it is to be considered, that the greatest part of the Rice is now made be Gentlemen of Estates, clear of Debt, and therefore the same might be practiced every year past, as well as future;",1,"['be considered', 'is now made', 'might be practiced']",3,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"but don't we see on the Contrary, these Gentlemen the most forward in cleaning out, & bringing to market: It there may be any who at otherwise, who seems the most prudent and greatest Gainer?",2,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"The Former no doubt: On the Whole, I think this objection has so little, or rather no Reason in it, that had I not heard it from a Person of reputed Sense, I could not have suggested it.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Now, As to how much Currency is necessary for this Province, some there are, who pretend to determine how much is proper and convenient for carrying on Trade;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"(indeed more than enough in Paper would be a Nusance) but I never yet see any regular Scheme, or the Reason on which it's founded, by those very correct Gentlemen, who say the Sum extant (I mean before the Orders) was Enough, And that's Enough.",1,"[""'s founded""]",1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"I believe the Usuerer says in his Heart, it's ever too much, the less there is the higher the Interest;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"I'm not very careful to obtain the Smiles, nor do I any more regard the Frowns, of these Persons.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Humanity ought to prevail, and if we are commanded to Love our Neighbours as our selves, what is there less implied, than serving our Neighbour in any Degree, wherein we receive equal Advantages;",1,['are commanded'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"therefore the Interest should be ascertained at a reasonable Rate, to afford (if possible) Advantages on both Sides.",1,['should be ascertained'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Now the Method I would propose for ascertaining the Sum needful for carrying on the Trade of this Province: Let a LOANOFFICE be opened on the Terms aforesaid, and the Interest kept at  per cent.",1,['be opened'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"I dare venture to say, no more will be borrowed than what's absolutely wanted, and necessary for conveniency of Trade;",1,"['will be borrowed', ""'s absolutely wanted""]",2,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"and to that I would confine the Sum, for at least some Years, tho' it should not exceed ,I.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Principle, nor do I think it would come to ,I.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
Proclamation Money.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"It would not appear unjust to offer some thing for ascertaining the Rate of Interest, I think it admits of only one general Rule, that it should (and does in all well regulated places) bear (constant) proportion to the Profits arising on Trade, for it's that which ascertains also the Value of I and every where;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"this is plain, by observing those places where Trade is carried on with least Profit, there Interest is lowest;",1,['is carried'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"and where there is no Commerce, there is no such thing as Interest Money.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"But, as in this Country, we have so little trade of our own, that we can't judge of it;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"the Fountain and Center of our Commerce being in Great Britain: However, we have Lands, and must estimate the annual Profit that way;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"here, I'm very sorry, the Scene opens with a very melancholy Prospect (to those already in Debt), our Staple Commodities falling in price from year to Year, threatens Proverty and Distress to those who have nothing else to depend on;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"and of late yeards, the Experience of many Planters confirms, I beleive, this Observation;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"that with all their Industry and Cre, they have not been able to make  per cent.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
Profit on Land and Slaves;,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"I would advise such to be wife in time, and judge whether it would not be much better to sell off and balance with the Creditor, that what remains may be clear, than suffer a flow (but certain) Moth of Interest, insensibly to catout the whole, It seems, most of our Neighbours to the northward don't exceed  per cent.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
per Ann.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"The Sugar Islands were at , 'till of late;",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
Barbadoes (if I am right informed) have reduced to .,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Perhaps, it might have been better, if they had done it sooner, and prevented many of their Inhabitants going off.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Putting every thing together, I would humbly submit it, whether the Circumstances of this Province can well afford continuing the Interest at  per cent.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"perhaps it may be necessary to do it, until such time as the publick Debt, , old Bills be paid off which would be erected, according to my Scheme, in six Years or less;",1,"['be paid', 'would be erected']",2,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"at which time, if not before, I doubt not, all will agree to reduce Interest, unless, in the mean time, we should be so fortunate, as to find some new Staple or Manufacture, to give new Life to the Planter and others in Trade.",1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
To Recapitulate the Substance of what has been offered on this Subject.,1,['has been offered'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"A standing Paper Currency is proposed, to continue until the Nature or Circumstance of our Trade will furnish us with that which is better, Silver or Gold.",1,['is proposed'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"That it be put on such a Foundation, as shall be just and equal to all concerned, which it is conceived it will be, if the Bill be kept to its original Value.",1,"['be put', 'is conceived', 'be kept']",3,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"That it will be effected by issuing it on Loan, provided the Interest be paid in Silver or Gold.",1,"['will be effected', 'be paid']",2,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
.,1,[],0,0,0.0,0,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
After paying the Debt now owing by the Publick the Interest be applied towards the Support of Governement.,1,['be applied'],1,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"If this Scheme, or something like it, may be thought of Use, something further may be offered towards it",1,"['may be thought', 'may be offered']",2,1,1.0,1,8,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_04_07_row_8.txt,1733_04_07
"Amsterdam, April .",1,[],0,0,0.0,0,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt,1733_06_30
"'Tis advised from Constantinople of the th of February, that the Affairs of Persia continue to embarrass the Ottoman Port very much.",1,['Tis advised'],1,1,1.0,1,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt,1733_06_30
"That it had been resolved some time before the Date of these Letters, that the Grand Seignior shou'd go in Person to command the Army in Persia, in order to animate by his Presence, the Turks Troops, who are averse to engage in a War to shed Musselmans Blood;",1,['had been resolved'],1,1,1.0,1,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt,1733_06_30
"and also that the Grand Vizier, who has already served against the Persians, and who knows their Manner of Fighting, should accompany the Sultan;",1,[],0,0,0.0,0,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt,1733_06_30
"but upon certain Representations made of the Grand Seignior's leaving that Capital, where the Spirit of Rebellion was not yet entirely extinguished, they had altered their Opinion, and appointed Solyman Osman, Baffaw for that Command, with Power Power to raise Troops in Romelia.",1,['was not yet entirely extinguished'],1,1,1.0,1,9,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_06_30_row_9.txt,1733_06_30
